UniqueID,Vehicle Class,Engine Size(L),Cylinders,Transmission,Number of Gear,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
26,5466508504454024968,MID-SIZE,2.0,4,A,8.0,Z,12.0,8.1,10.2,28,235
27,203898050584835163,MID-SIZE,3.0,6,A,8.0,Z,12.8,8.6,10.9,26,251
28,6415977038463061826,MID-SIZE,3.0,6,A,8.0,D,9.8,6.2,8.1,35,217
29,1742210059707750715,MID-SIZE,3.0,6,A,8.0,Z,13.3,8.5,11.2,25,262
30,8410350988630230056,MID-SIZE,3.0,6,A,8.0,D,9.8,6.2,8.1,35,217
31,4643274625210068121,MID-SIZE,3.0,6,A,8.0,Z,13.1,8.8,11.2,25,258
32,6316006776008899386,MID-SIZE,4.0,8,A,8.0,Z,13.7,8.3,11.3,25,265
33,6590433350739558367,MID-SIZE,3.0,6,A,8.0,D,9.8,6.5,8.4,34,224
34,4694760663009539195,FULL-SIZE,3.0,6,A,8.0,Z,13.1,8.8,11.2,25,258
35,1579835993268919502,FULL-SIZE,4.0,8,A,8.0,Z,14.7,9.7,12.5,23,288
36,3547155077872750828,FULL-SIZE,6.3,12,A,8.0,Z,18.7,11.5,15.5,18,363
37,1089158364235849306,FULL-SIZE,3.0,6,A,8.0,D,9.8,6.5,8.4,34,224
38,1191592496924657820,,2.0,4,A,8.0,Z,11.8,8.8,10.5,27,242
39,7970532176031249782,SUV,2.0,4,A,8.0,Z,12.0,8.5,10.4,27,239
40,3343398043117704624,SUV,3.0,6,A,8.0,Z,12.9,9.2,11.2,25,258
41,6174201129702990537,SUV,3.0,6,A,8.0,D,10.2,7.8,9.0,31,244
42,2468331800871070251,SUV,2.0,4,A,8.0,Z,9.9,8.3,9.2,31,212
43,362880499355647060,SUV,3.0,6,A,8.0,Z,15.1,10.9,13.2,21,304
44,8695226046833121993,SUV,3.0,6,A,8.0,D,12.4,8.7,10.7,26,290
45,651975036302575875,TWO-SEATER,4.2,8,A,7.0,Z,17.6,11.0,14.6,19,336
46,6171199086650342979,TWO-SEATER,4.2,8,M,6.0,Z,21.2,13.4,17.7,16,407
47,562591273652975108,TWO-SEATER,5.2,10,A,7.0,Z,18.2,10.6,14.8,19,347
48,8128288922750964259,TWO-SEATER,5.2,10,M,6.0,Z,21.1,13.8,17.8,16,409
49,8724351977926837622,TWO-SEATER,4.2,8,A,7.0,Z,17.6,11.0,14.6,19,336
50,1101880363312335769,TWO-SEATER,4.2,8,M,6.0,Z,21.2,13.4,17.7,16,407
51,3532305243928613756,TWO-SEATER,5.2,10,A,7.0,Z,18.2,10.6,14.8,19,347
52,2453480674103807259,TWO-SEATER,5.2,10,M,6.0,Z,21.1,13.8,17.8,16,409
53,8410231095176582844,COMPACT,4.2,8,A,7.0,Z,15.3,10.9,13.3,21,306
54,4827461411848083737,COMPACT,4.2,8,A,7.0,Z,15.2,11.3,13.4,21,308
55,5583130998231843313,MID-SIZE,4.0,8,A,8.0,Z,15.5,8.8,12.5,23,293
56,2687033161643171085,COMPACT,3.0,6,A,7.0,Z,13.2,9.2,11.4,25,262
57,7471647488323763672,COMPACT,3.0,6,M,6.0,Z,14.6,9.8,12.4,23,285
58,6528889140457296102,COMPACT,3.0,6,A,7.0,Z,13.2,9.2,11.4,25,262
59,3786934998839451135,COMPACT,3.0,6,M,6.0,Z,14.6,9.8,12.4,23,285
60,3430756512528327584,COMPACT,3.0,6,A,7.0,Z,13.3,9.5,11.6,24,267
61,5225820681740168096,MID-SIZE,4.0,8,A,7.0,Z,14.2,9.7,12.2,23,281
62,7767910794947118423,MID-SIZE,4.0,8,A,7.0,Z,14.2,9.7,12.2,23,281
63,4765644184539071569,MID-SIZE,4.0,8,A,8.0,Z,15.8,9.2,12.8,22,300
64,8189020993928457748,SUV,3.0,6,A,8.0,Z,14.9,10.1,12.7,22,292
65,7705142731106206491,COMPACT,2.0,4,A,6.0,Z,10.4,7.6,9.1,31,209
66,360566689222123050,TWO-SEATER,2.0,4,A,6.0,Z,10.4,7.6,9.1,31,209
67,1622921958502498081,COMPACT,2.0,4,A,6.0,Z,11.5,8.8,10.3,27,237
68,1377002236356889119,TWO-SEATER,2.0,4,A,6.0,Z,11.5,8.8,10.3,27,237
69,586906313873365904,COMPACT,4.0,8,A,8.0,Z,16.3,9.8,13.4,21,314
70,6478323015647120171,COMPACT,6.0,12,A,8.0,Z,18.8,11.5,15.5,18,356
71,6798251249881613946,COMPACT,4.0,8,A,8.0,Z,17.4,10.2,14.2,20,332
72,8307713400944799682,COMPACT,6.0,12,A,8.0,Z,20.0,12.2,16.5,17,380
73,6700161324044732260,COMPACT,6.0,12,A,8.0,Z,20.0,12.2,16.5,17,380
74,3051637273823842433,MID-SIZE,6.0,12,A,8.0,Z,20.3,11.9,16.5,17,388
75,2021044597839410641,MID-SIZE,6.8,8,A,8.0,Z,22.3,14.9,19.0,15,437
76,8328829498124964243,COMPACT,2.0,4,A,8.0,Z,10.0,6.5,8.4,34,193
77,8918708078562817916,COMPACT,2.0,4,M,6.0,Z,10.4,6.7,8.7,32,200
78,6311526778870689591,COMPACT,2.0,4,A,8.0,Z,10.2,7.0,8.8,32,202
79,5625480612404506460,COMPACT,2.0,4,A,8.0,D,7.6,5.5,6.7,42,181
80,6312572056697782766,,2.0,4,A,8.0,D,7.6,5.5,6.7,42,181
81,7201120255148468765,COMPACT,2.0,4,A,8.0,Z,10.0,6.5,8.4,34,193
82,5037149369668227921,COMPACT,2.0,4,M,6.0,Z,10.4,6.7,8.7,32,200
83,501067246005678471,COMPACT,2.0,4,A,8.0,Z,10.6,7.2,9.1,31,209
84,8527387489313570061,FULL-SIZE,2.0,4,A,8.0,Z,10.6,7.2,9.1,31,209
85,8541733950994620493,,2.0,4,A,8.0,Z,10.6,7.2,9.1,31,209
86,6113074513713477766,COMPACT,3.0,6,A,8.0,Z,11.4,7.3,9.6,29,221
87,123952497964693590,COMPACT,3.0,6,M,6.0,Z,11.8,7.9,10.0,28,230
88,4981909524334118545,COMPACT,3.0,6,A,8.0,Z,11.7,7.8,9.9,29,228
89,5866402285667798477,COMPACT,3.0,6,M,6.0,Z,11.9,8.3,10.3,27,237
90,5578789888573580479,FULL-SIZE,3.0,6,A,8.0,Z,11.9,8.0,10.1,28,232
91,3470051515630879842,COMPACT,2.0,4,A,8.0,Z,10.0,6.5,8.4,34,193
92,2060224804416679068,COMPACT,2.0,4,M,6.0,Z,10.4,6.7,8.7,32,200
93,8698535977301594836,COMPACT,2.0,4,A,8.0,Z,10.6,7.2,9.1,31,209
94,2119275014573165155,COMPACT,3.0,6,A,8.0,Z,11.4,7.3,9.6,29,221
95,7139461861345229873,COMPACT,3.0,6,M,6.0,Z,11.8,7.9,10.0,28,230
96,7420442097264025681,COMPACT,3.0,6,A,8.0,Z,11.7,7.8,9.9,29,228
97,2677258384613741054,COMPACT,3.0,6,M,6.0,Z,11.9,8.3,10.3,27,237
98,7630061095562321104,MID-SIZE,2.0,4,A,8.0,Z,10.2,7.0,8.8,32,202
99,3276165975874929315,MID-SIZE,2.0,4,A,8.0,Z,10.6,7.2,9.1,31,209
100,7445816386821348736,MID-SIZE,3.0,6,A,8.0,D,9.2,6.4,7.9,36,213
101,8691586091439581248,MID-SIZE,3.0,6,A,8.0,Z,11.9,8.0,10.1,28,232
102,3124455888973893197,FULL-SIZE,3.0,6,A,8.0,Z,12.5,8.6,10.7,26,246
103,2531749217390983078,MID-SIZE,4.4,8,A,8.0,Z,14.4,9.6,12.2,23,281
104,8519260084901029687,FULL-SIZE,4.4,8,A,8.0,Z,15.0,9.8,12.7,22,292
105,1243945024229820874,COMPACT,3.0,6,A,8.0,Z,11.9,8.0,10.1,28,232
106,814907073471554462,COMPACT,4.4,8,A,8.0,Z,15.0,9.8,12.7,22,292
107,8141061056683436654,COMPACT,4.4,8,A,8.0,Z,14.4,9.6,12.2,23,281
108,897028701562419391,COMPACT,4.4,8,A,8.0,Z,15.0,9.8,12.7,22,292
109,4211191304584364304,FULL-SIZE,3.0,6,A,8.0,Z,12.5,8.6,10.7,26,246
110,5649874622195357038,FULL-SIZE,4.4,8,A,8.0,Z,15.0,9.8,12.7,22,292
111,6337676794244403877,FULL-SIZE,4.4,8,A,8.0,Z,15.0,9.8,12.7,22,292
112,1505788484602375259,FULL-SIZE,6.0,12,A,8.0,Z,18.7,11.5,15.5,18,356
113,1756714857455381577,COMPACT,3.0,6,A,8.0,Z,9.2,7.1,8.3,34,191
114,7822478603855801642,MID-SIZE,3.0,6,A,8.0,Z,10.5,7.9,9.3,30,214
115,4652004481043250303,FULL-SIZE,3.0,6,A,8.0,Z,10.5,7.6,9.2,31,212
116,3994629388810236173,FULL-SIZE,4.4,8,A,8.0,Z,15.0,9.8,12.7,22,292
117,4464155000839829596,FULL-SIZE,4.4,8,A,8.0,Z,15.0,9.8,12.7,22,292
118,8298040504473141386,MID-SIZE,4.4,8,A,7.0,Z,17.3,11.5,14.7,19,338
119,2126902033483976666,MID-SIZE,4.4,8,M,6.0,Z,16.2,10.9,13.8,20,317
120,4340827691862468773,COMPACT,4.4,8,A,7.0,Z,17.3,11.5,14.7,19,338
121,2899425513618126450,COMPACT,4.4,8,M,6.0,Z,16.2,10.9,13.8,20,317
122,735608576120525888,COMPACT,4.4,8,A,7.0,Z,17.3,11.5,14.7,19,338
123,5287402357273716579,COMPACT,4.4,8,M,6.0,Z,16.2,10.9,13.8,20,317
124,2756892674296710215,COMPACT,4.4,8,A,7.0,Z,17.3,11.5,14.7,19,338
125,4113261196790998687,COMPACT,4.4,8,M,6.0,Z,16.2,10.9,13.8,20,317
126,8051509977100691056,SUV,2.0,4,A,8.0,Z,10.6,7.2,9.1,31,209
127,4727581518961269561,SUV,3.0,6,A,6.0,Z,13.2,8.9,11.3,25,260
128,5225708161389238452,SUV,2.0,4,A,8.0,Z,11.2,8.5,10.0,28,230
129,4712412042476085830,SUV,3.0,6,A,8.0,Z,12.6,9.1,11.0,26,253
130,2844520649021624073,SUV,3.0,6,A,8.0,Z,12.9,8.8,11.1,25,255
131,7960008144929583512,SUV,4.4,8,A,8.0,Z,16.3,10.9,13.9,20,320
132,157946200802538061,SUV,4.4,8,A,6.0,Z,18.1,13.7,16.1,18,370
133,656075139022988596,SUV,3.0,6,A,8.0,Z,13.6,9.8,11.9,24,274
134,5327619640504760759,SUV,4.4,8,A,8.0,Z,16.4,11.3,14.1,20,324
135,1588035333130431451,TWO-SEATER,2.0,4,A,8.0,Z,10.8,7.1,9.1,31,209
136,7999334377528816209,TWO-SEATER,2.0,4,M,6.0,Z,10.4,6.7,8.7,32,200
137,2335917600257366060,TWO-SEATER,3.0,6,A,7.0,Z,13.7,10.1,12.1,23,278
138,8792681600814271232,TWO-SEATER,3.0,6,M,6.0,Z,12.7,9.0,11.0,26,253
139,1743547113686157775,TWO-SEATER,3.0,6,A,7.0,Z,13.7,10.1,12.1,23,278
140,6394640388124037146,SUV,3.6,6,A,6.0,X,14.3,9.9,12.3,23,283
141,6322868353708059063,SUV,3.6,6,A,6.0,X,14.6,10.2,12.6,22,290
142,3871126937043042747,SUV,1.4,4,A,6.0,X,9.5,7.2,8.5,33,196
143,1617792326231256196,SUV,1.4,4,A,6.0,X,10.2,8.0,9.2,31,212
144,6872468568632373403,MID-SIZE,3.6,6,A,6.0,X,13.7,8.7,11.5,25,264
145,2698860879247790114,MID-SIZE,3.6,6,A,6.0,E,18.4,12.2,15.6,18,250
146,8625414359601948255,MID-SIZE,3.6,6,A,6.0,X,13.7,8.9,11.5,25,264
147,3860879931551943014,MID-SIZE,3.6,6,A,6.0,E,19.4,13.0,16.5,17,264
148,7253244829097226131,MID-SIZE,2.4,4,A,6.0,X,9.6,6.5,8.2,34,189
149,6217057299387559266,MID-SIZE,2.0,4,A,6.0,Z,11.5,7.9,9.9,29,228
150,8962322127388419254,MID-SIZE,2.0,4,M,6.0,Z,11.6,7.5,9.8,29,225
151,4088277235192850457,MID-SIZE,2.0,4,A,6.0,Z,12.3,8.7,10.7,26,246
152,8554380145208546650,MID-SIZE,2.4,4,A,6.0,X,9.6,6.5,8.2,34,189
153,1210933106780467105,COMPACT,2.0,4,A,6.0,Z,11.5,7.9,9.9,29,228
154,8165269517225570202,COMPACT,2.0,4,M,6.0,Z,11.6,7.5,9.8,29,225
155,5621828397676441332,COMPACT,2.4,4,A,6.0,X,11.3,7.4,9.5,30,218
156,7685547945658541002,COMPACT,2.0,4,A,6.0,Z,11.3,7.5,9.6,29,221
157,5394379621761315081,COMPACT,2.0,4,M,6.0,Z,12.1,7.9,10.2,28,235
158,3066759420903944804,COMPACT,2.5,4,A,6.0,X,10.5,7.2,9.0,31,207
159,417295683261135342,COMPACT,3.6,6,A,6.0,X,12.8,8.5,10.9,26,251
160,3711562967629769079,COMPACT,2.0,4,A,6.0,Z,11.8,8.1,10.1,28,232
161,552030842656948109,COMPACT,3.6,6,A,6.0,X,13.1,9.0,11.3,25,260
162,218530192279468042,MID-SIZE,3.6,6,A,6.0,X,13.2,8.7,11.2,25,258
163,603631160164024961,MID-SIZE,3.6,6,A,6.0,X,13.3,9.0,11.4,25,262
164,9068066810196131601,MID-SIZE,2.0,4,A,6.0,Z,11.9,7.9,10.1,28,232
165,4103418462717763406,MID-SIZE,3.6,6,A,8.0,X,12.9,8.2,10.8,26,248
166,4089266432498468783,MID-SIZE,2.0,4,A,6.0,Z,12.6,8.5,10.8,26,248
167,5618397316139210744,MID-SIZE,3.6,6,A,6.0,X,13.1,9.0,11.3,25,260
168,7066279598734952707,MID-SIZE,3.6,6,A,8.0,Z,15.1,9.9,12.8,22,294
169,1155839014799488517,,3.0,6,A,6.0,X,12.7,8.9,11.0,26,253
170,8401500761434652261,,3.6,6,A,6.0,X,13.3,8.9,11.3,25,260
171,8900421579467572251,,3.0,6,A,6.0,X,12.8,9.1,11.1,25,255
172,45970108729052221,,3.6,6,A,6.0,X,13.3,9.0,11.4,25,262
173,1762434580516831301,MID-SIZE,6.2,8,A,6.0,Z,19.7,12.9,16.6,17,382
174,8762882057624931582,MID-SIZE,6.2,8,M,6.0,Z,16.7,12.5,14.8,19,340
175,3658062394872733261,MID-SIZE,6.2,8,A,6.0,Z,19.7,12.9,16.6,17,382
176,6314233133414050636,MID-SIZE,6.2,8,M,6.0,Z,16.7,12.5,14.8,19,340
177,2019653302805215789,,6.2,8,A,6.0,Z,19.7,12.9,16.6,17,382
178,7808487401097376117,,6.2,8,M,6.0,Z,16.7,12.5,14.8,19,340
179,4301376726659051324,SUV,6.2,8,A,6.0,Z,17.0,11.8,14.7,19,338
180,5751209343229559530,SUV,6.2,8,A,6.0,E,23.3,16.1,20.1,14,322
181,3083929531716603916,SUV,6.2,8,A,6.0,Z,18.8,13.4,16.4,17,377
182,3968845143807638791,SUV,6.2,8,A,6.0,E,25.7,17.8,22.1,13,354
183,2197150377908014050,SUV,3.6,6,A,6.0,X,14.3,9.8,12.3,23,283
184,1688216613695016383,SUV,3.6,6,A,6.0,X,14.8,10.4,12.8,22,294
185,6898890550997912174,FULL-SIZE,3.6,6,A,6.0,X,13.6,8.6,11.4,25,262
186,4138630327030101069,FULL-SIZE,3.6,6,A,6.0,X,14.0,9.1,11.8,24,271
187,4073529562413166836,FULL-SIZE,3.6,6,A,6.0,Z,14.8,9.8,12.6,22,290
188,426557646155700623,COMPACT,3.6,6,A,6.0,X,13.2,8.7,11.2,25,258
189,3306887462537802345,COMPACT,3.6,6,M,6.0,X,14.2,8.6,11.7,24,269
190,1643480754442638812,COMPACT,3.6,6,A,6.0,X,12.7,7.9,10.5,27,242
191,8059688716766116576,COMPACT,6.2,8,A,6.0,Z,15.3,9.8,12.8,22,294
192,6614861537338459077,COMPACT,6.2,8,M,6.0,Z,15.0,9.9,12.7,22,292
193,1012797122407138192,COMPACT,6.2,8,A,6.0,Z,19.7,12.9,16.6,17,382
194,7475353749719412146,COMPACT,6.2,8,M,6.0,Z,16.7,12.5,14.8,19,340
195,5073695883632178642,TWO-SEATER,6.2,8,A,6.0,Z,14.9,8.5,12.0,24,276
196,6823114589783592472,TWO-SEATER,6.2,8,M,7.0,Z,13.7,8.2,11.2,25,258
197,4470299276708310708,MID-SIZE,1.4,4,A,6.0,X,9.1,6.3,7.8,36,179
198,493102985834488576,MID-SIZE,1.4,4,M,6.0,X,9.1,6.3,7.8,36,179
199,3834593696538254412,MID-SIZE,1.8,4,A,6.0,X,10.5,6.7,8.8,32,202
200,6237187774609598483,MID-SIZE,1.8,4,M,6.0,X,9.5,6.5,8.2,34,189
201,1240185361695529388,MID-SIZE,2.0,4,A,6.0,D,8.7,5.1,7.1,40,192
202,4183319358911082412,MID-SIZE,1.4,4,A,6.0,X,9.1,6.0,7.7,37,177
203,7827305601399511875,MID-SIZE,1.4,4,M,6.0,X,8.4,5.6,7.1,40,163
204,4771172379588812165,SUV,2.4,4,A,6.0,X,10.5,7.3,9.1,31,209
205,2367834394316404277,SUV,3.6,6,A,6.0,X,13.9,9.6,12.0,24,276
206,2471948722147815953,SUV,3.6,6,A,6.0,E,18.8,13.1,16.2,17,259
207,8846906140509461116,SUV,2.4,4,A,6.0,X,11.5,8.2,10.0,28,230
208,1277577688739916105,SUV,3.6,6,A,6.0,X,14.8,9.9,12.6,22,290
209,8315904444747858260,SUV,3.6,6,A,6.0,E,19.8,13.6,17.0,17,272
210,5926858585165125733,,4.3,6,A,4.0,X,17.1,12.7,15.1,19,347
211,5539993835894074389,,5.3,8,A,4.0,X,18.0,13.4,15.9,18,366
212,2823588284121250020,,5.3,8,A,4.0,E,23.5,17.7,20.9,14,334
213,4336762796855885888,,5.3,8,A,4.0,X,18.3,14.2,16.5,17,380
214,935932312716880376,,5.3,8,A,4.0,E,23.7,18.8,21.5,13,344
215,4514391885971214658,,5.3,8,A,4.0,X,18.6,13.9,16.5,17,380
216,6195603408670903056,,5.3,8,A,4.0,E,23.9,18.5,21.5,13,344
217,7495507582693658944,,5.3,8,A,4.0,X,18.3,14.2,16.5,17,380
218,152826300951347449,,5.3,8,A,4.0,E,25.3,19.3,22.6,12,362
219,4437084349406602719,,5.3,8,A,4.0,X,18.6,13.9,16.5,17,380
220,8965106103352261384,,5.3,8,A,4.0,E,23.9,18.5,21.5,13,344
221,1585983593606395936,,5.3,8,A,4.0,X,18.3,14.2,16.5,17,380
222,8153246522262125890,,5.3,8,A,4.0,E,25.3,19.3,22.6,12,362
223,5208250727825455918,,4.8,8,A,6.0,X,21.1,14.2,18.0,16,414
224,6955719884721221099,,6.0,8,A,6.0,X,21.9,15.0,18.8,15,432
225,5897117330931637587,,6.0,8,A,6.0,E,30.0,20.4,25.7,11,411
226,8857979156685981236,,4.8,8,A,6.0,X,21.3,14.3,18.2,16,419
227,6934370711728877633,,6.0,8,A,6.0,X,22.1,15.0,18.9,15,435
228,6001653434378618158,,6.0,8,A,6.0,E,30.2,20.5,25.8,11,413
229,7084709026600666122,FULL-SIZE,2.5,4,A,6.0,X,11.3,7.5,9.6,29,221
230,6707347369302351013,FULL-SIZE,3.6,6,A,6.0,X,12.6,8.2,10.6,27,244
231,7440099493839167234,FULL-SIZE,3.6,6,A,6.0,E,16.7,11.3,14.3,20,229
232,4721899668262840507,FULL-SIZE,2.4,4,A,6.0,X,10.0,7.0,8.7,32,200
233,6734938926529766350,MID-SIZE,2.0,4,A,6.0,Z,11.5,7.9,9.9,29,228
234,6713064756806392649,MID-SIZE,2.5,4,A,6.0,X,9.3,6.4,8.0,35,184
235,4479462042482075571,SUV,2.4,4,A,6.0,X,12.2,8.6,10.6,27,244
236,6409950117139034390,SUV,2.4,4,M,6.0,X,11.8,8.3,10.2,28,235
237,8742405760864835940,PICKUP TRUCK,4.3,6,A,6.0,X,13.4,9.9,11.8,24,271
238,6195424819223154246,PICKUP TRUCK,4.3,6,A,6.0,E,18.9,14.2,16.8,17,269
239,8521429316230811702,PICKUP TRUCK,5.3,8,A,6.0,X,14.6,10.3,12.7,22,292
240,5800612101372325662,PICKUP TRUCK,5.3,8,A,6.0,E,19.5,13.7,16.9,17,270
241,4877799015595917916,PICKUP TRUCK,6.2,8,A,6.0,Z,16.3,11.4,14.1,20,324
242,6168373511114806113,PICKUP TRUCK,4.3,6,A,6.0,X,14.2,10.6,12.6,22,290
243,8797861184957353134,PICKUP TRUCK,4.3,6,A,6.0,E,20.0,15.1,17.8,16,285
244,1932143139290434510,PICKUP TRUCK,5.3,8,A,6.0,X,14.9,10.6,13.0,22,299
245,2119863157111344024,PICKUP TRUCK,5.3,8,A,6.0,E,19.9,14.2,17.3,16,277
246,776033952809322105,PICKUP TRUCK,6.2,8,A,6.0,Z,16.4,11.7,14.3,20,329
247,837113738137296141,COMPACT,1.4,4,A,6.0,X,9.1,6.7,8.0,35,184
248,6702399432075924019,COMPACT,1.4,4,M,6.0,X,8.5,6.2,7.5,38,173
249,7035725618111500791,COMPACT,1.8,4,A,6.0,X,9.6,6.6,8.3,34,191
250,1357156825944801231,COMPACT,1.8,4,M,5.0,X,8.9,6.7,7.9,36,182
251,1608269755527947866,COMPACT,1.4,4,A,6.0,X,9.4,7.0,8.3,34,191
252,1709218511440872321,COMPACT,1.4,4,M,6.0,X,8.8,7.0,8.0,35,184
253,6710908268220272196,MID-SIZE,1.4,4,A,6.0,X,9.1,6.7,8.0,35,184
254,4678563431019082651,MID-SIZE,1.4,4,M,6.0,X,8.5,6.2,7.5,38,172
255,3918892694651353873,MID-SIZE,1.8,4,A,6.0,X,9.6,6.6,8.3,34,191
256,1286130542422310032,MID-SIZE,1.8,4,M,5.0,X,8.9,6.7,7.9,36,182
257,7481938761457041145,MID-SIZE,1.4,4,A,6.0,X,9.4,7.0,8.3,34,191
258,678433536536717334,MID-SIZE,1.4,4,M,6.0,X,8.8,7.0,8.0,35,184
259,1604235049175821966,COMPACT,1.2,4,A,,X,7.7,6.0,6.9,41,159
260,2463447279778913611,COMPACT,1.2,4,M,5.0,X,7.6,6.0,6.9,41,159
261,4434768431936057999,SUV,5.3,8,A,6.0,X,16.0,11.1,13.8,20,317
262,8173531792780936329,SUV,5.3,8,A,6.0,E,21.5,14.6,18.4,15,294
263,6004419563984933303,SUV,5.3,8,A,6.0,X,16.0,11.1,13.8,20,317
264,3408230672309779184,SUV,5.3,8,A,6.0,E,21.5,14.6,18.4,15,294
265,8769299370871255188,SUV,5.3,8,A,6.0,X,16.0,11.1,13.8,20,317
266,5137176555302264444,SUV,5.3,8,A,6.0,E,21.5,14.6,18.4,15,294
267,8889787131794156062,SUV,5.3,8,A,6.0,X,16.0,11.1,13.8,20,317
268,493552629586194193,SUV,5.3,8,A,6.0,E,21.5,14.6,18.4,15,294
269,1909361154280419902,SUV,3.6,6,A,6.0,X,14.3,9.9,12.3,23,283
270,7800565586973601739,SUV,3.6,6,A,6.0,X,14.6,10.2,12.6,22,290
271,8756767729717935000,SUV,1.4,4,A,6.0,X,9.4,7.1,8.4,34,193
272,2461363461333834142,SUV,1.4,4,M,6.0,X,9.1,6.8,8.1,35,186
273,1363507696547004407,SUV,1.4,4,A,6.0,X,10.0,7.8,9.0,31,207
274,6730203512203779195,FULL-SIZE,3.6,6,A,8.0,X,12.4,7.7,10.3,27,237
275,5164022279926615533,COMPACT,2.4,4,A,4.0,X,11.7,8.2,10.1,28,232
276,6507595980172568779,COMPACT,2.4,4,A,6.0,X,12.9,8.1,10.7,26,246
277,6722741904418128642,COMPACT,3.6,6,A,6.0,X,12.5,8.1,10.5,27,242
278,4211538723747551563,COMPACT,3.6,6,A,6.0,E,17.0,11.2,14.4,20,230
279,5334192171547795539,MID-SIZE,2.4,4,A,4.0,X,11.2,8.0,9.8,29,225
280,3982281522046570514,MID-SIZE,2.4,4,A,6.0,X,12.0,7.6,10.0,28,230
281,9182832015447686877,MID-SIZE,3.6,6,A,6.0,X,12.5,8.1,10.5,27,242
282,3978365170183676522,MID-SIZE,3.6,6,A,6.0,E,17.0,11.2,14.4,20,230
283,5752613658821972774,FULL-SIZE,5.7,8,A,5.0,X,15.8,9.2,12.8,22,294
284,1044215149775109893,FULL-SIZE,3.6,6,A,8.0,X,12.8,8.6,10.9,26,251
285,6049238053148386910,FULL-SIZE,5.7,8,A,5.0,X,16.1,10.0,13.4,21,308
286,4924892913045666766,FULL-SIZE,3.6,6,A,8.0,X,12.8,8.6,10.9,26,251
287,8253478309783778169,FULL-SIZE,3.6,6,A,8.0,E,17.3,11.7,14.8,19,237
288,2620280817282500504,FULL-SIZE,3.6,6,A,8.0,X,12.4,7.7,10.3,27,237
289,2338054970724736606,FULL-SIZE,3.6,6,A,8.0,E,16.8,10.3,13.9,20,222
290,8152706771639999297,FULL-SIZE,6.4,8,A,5.0,Z,16.7,10.3,13.8,20,317
291,8349731871638095169,,3.6,6,A,6.0,X,14.1,9.5,12.0,24,276
292,3353581514826661222,,3.6,6,A,6.0,E,19.7,13.3,16.8,17,269
