occupation,race,sex,age,education,education-num,hours-per-week,class
Other-service,White,Male,59,HS-grad,9,40,<=50K
Adm-clerical,White,Female,40,Some-college,10,38,<=50K
Exec-managerial,White,Male,41,Bachelors,13,50,>50K
Exec-managerial,White,Male,38,Masters,14,70,>50K
Transport-moving,White,Male,23,HS-grad,9,40,<=50K
Prof-specialty,White,Male,40,Bachelors,13,40,>50K
Other-service,White,Female,41,HS-grad,9,20,<=50K
Protective-serv,White,Male,24,Assoc-acdm,12,50,<=50K
?,White,Male,20,Some-college,10,20,<=50K
Craft-repair,White,Male,38,Some-college,10,40,<=50K
Adm-clerical,White,Male,56,HS-grad,9,35,<=50K
Adm-clerical,White,Male,58,HS-grad,9,45,>50K
Other-service,White,Female,32,HS-grad,9,34,<=50K
Tech-support,White,Male,40,Assoc-acdm,12,60,>50K
Adm-clerical,White,Male,45,HS-grad,9,40,<=50K
Prof-specialty,White,Female,41,Prof-school,15,40,>50K
Adm-clerical,Black,Female,42,Bachelors,13,40,<=50K
Other-service,Black,Female,59,10th,6,30,<=50K
Adm-clerical,White,Male,19,Some-college,10,40,<=50K
Transport-moving,White,Male,58,Some-college,10,20,<=50K
Farming-fishing,Asian-Pac-Islander,Male,42,HS-grad,9,40,>50K
Other-service,White,Female,20,HS-grad,9,40,<=50K
Other-service,White,Female,32,HS-grad,9,30,<=50K
Exec-managerial,White,Female,45,Assoc-voc,11,45,<=50K
Craft-repair,White,Male,50,7th-8th,4,40,<=50K
Prof-specialty,White,Female,36,Bachelors,13,40,<=50K
Sales,White,Male,45,HS-grad,9,60,<=50K
Other-service,White,Male,17,11th,7,12,<=50K
Sales,White,Male,59,Some-college,10,40,<=50K
Craft-repair,White,Male,26,11th,7,40,<=50K
Exec-managerial,Asian-Pac-Islander,Male,37,Some-college,10,75,>50K
?,White,Male,19,Some-college,10,24,<=50K
Exec-managerial,White,Male,64,HS-grad,9,40,>50K
Prof-specialty,White,Female,33,Bachelors,13,45,<=50K
Craft-repair,White,Female,33,HS-grad,9,40,>50K
Exec-managerial,White,Male,61,HS-grad,9,40,>50K
Other-service,White,Male,17,9th,5,24,<=50K
Farming-fishing,White,Male,50,Masters,14,98,<=50K
Prof-specialty,White,Male,27,Masters,14,35,<=50K
Prof-specialty,White,Female,30,HS-grad,9,40,<=50K
Handlers-cleaners,Black,Male,43,HS-grad,9,40,<=50K
Craft-repair,White,Male,44,Some-college,10,40,>50K
Exec-managerial,White,Female,35,Some-college,10,40,<=50K
Tech-support,White,Female,25,Some-college,10,40,<=50K
Machine-op-inspct,White,Female,24,Some-college,10,48,>50K
Prof-specialty,White,Female,22,Bachelors,13,15,<=50K
Craft-repair,White,Male,42,Some-college,10,40,>50K
Sales,Black,Female,34,Assoc-acdm,12,45,<=50K
Prof-specialty,White,Female,60,Bachelors,13,42,<=50K
Handlers-cleaners,White,Male,21,HS-grad,9,40,<=50K
Sales,White,Male,57,Masters,14,40,>50K
Prof-specialty,White,Male,41,Prof-school,15,60,>50K
Other-service,White,Male,50,Some-college,10,45,<=50K
Exec-managerial,White,Female,25,Bachelors,13,40,<=50K
Craft-repair,White,Male,50,7th-8th,4,40,<=50K
Prof-specialty,White,Male,36,Bachelors,13,45,<=50K
Prof-specialty,White,Female,31,HS-grad,9,40,<=50K
Protective-serv,White,Male,29,Bachelors,13,56,<=50K
Sales,White,Male,21,Some-college,10,45,<=50K
Tech-support,Black,Female,27,Bachelors,13,40,<=50K
Transport-moving,White,Male,65,HS-grad,9,16,<=50K
Sales,White,Female,37,Bachelors,13,60,<=50K
?,Asian-Pac-Islander,Female,39,Masters,14,40,<=50K
Craft-repair,White,Male,24,HS-grad,9,40,<=50K
Sales,White,Male,38,HS-grad,9,80,<=50K
Adm-clerical,White,Male,48,Bachelors,13,40,>50K
Other-service,Asian-Pac-Islander,Female,21,Some-college,10,25,<=50K
Transport-moving,White,Male,31,HS-grad,9,45,>50K
Sales,White,Male,55,HS-grad,9,40,>50K
Adm-clerical,Asian-Pac-Islander,Female,24,Some-college,10,40,<=50K
Adm-clerical,White,Female,43,HS-grad,9,40,<=50K
Tech-support,White,Male,26,Assoc-acdm,12,45,<=50K
Prof-specialty,White,Female,46,Assoc-acdm,12,33,<=50K
Adm-clerical,White,Male,35,Assoc-acdm,12,40,>50K
Farming-fishing,White,Male,41,Some-college,10,54,>50K
Sales,White,Male,26,Bachelors,13,40,<=50K
Exec-managerial,Asian-Pac-Islander,Male,34,Masters,14,35,>50K
?,Black,Female,19,Some-college,10,25,<=50K
Prof-specialty,Black,Female,36,Bachelors,13,40,>50K
Sales,White,Male,22,Some-college,10,15,<=50K
Machine-op-inspct,White,Male,24,Some-college,10,40,<=50K
Sales,White,Male,77,Some-college,10,40,<=50K
Machine-op-inspct,White,Female,22,5th-6th,3,40,<=50K
Tech-support,White,Female,29,Some-college,10,40,<=50K
Other-service,White,Female,62,HS-grad,9,24,<=50K
Exec-managerial,White,Male,39,HS-grad,9,40,<=50K
Craft-repair,White,Male,43,Some-college,10,50,<=50K
Transport-moving,White,Male,35,HS-grad,9,45,<=50K
Exec-managerial,White,Female,29,11th,7,40,<=50K
Craft-repair,White,Male,76,Masters,14,10,<=50K
Farming-fishing,White,Male,63,HS-grad,9,45,<=50K
?,Black,Female,23,Assoc-voc,11,15,<=50K
Prof-specialty,White,Female,43,Some-college,10,50,>50K
Handlers-cleaners,White,Male,58,HS-grad,9,40,<=50K
Transport-moving,White,Male,66,HS-grad,9,55,<=50K
Craft-repair,Black,Male,41,Some-college,10,45,<=50K
Adm-clerical,White,Male,26,Bachelors,13,40,<=50K
Other-service,White,Male,47,Assoc-voc,11,40,<=50K
Adm-clerical,White,Male,55,10th,6,40,<=50K
Transport-moving,White,Male,53,HS-grad,9,40,<=50K
Other-service,White,Male,17,5th-6th,3,48,<=50K
Craft-repair,White,Male,30,HS-grad,9,40,<=50K
Prof-specialty,White,Male,49,Masters,14,60,<=50K
Sales,Black,Male,19,HS-grad,9,30,<=50K
Other-service,Black,Male,45,HS-grad,9,40,<=50K
Sales,White,Male,26,Assoc-acdm,12,40,<=50K
Craft-repair,White,Male,38,Assoc-voc,11,40,>50K
Protective-serv,White,Male,36,HS-grad,9,40,>50K
Farming-fishing,White,Male,33,HS-grad,9,20,<=50K
Protective-serv,Black,Female,22,Some-college,10,40,<=50K
Sales,White,Male,43,Bachelors,13,42,<=50K
?,White,Male,67,11th,7,8,<=50K
?,White,Female,30,Assoc-voc,11,40,<=50K
Other-service,White,Male,56,Assoc-acdm,12,25,<=50K
Prof-specialty,White,Male,31,Bachelors,13,25,<=50K
Exec-managerial,White,Male,33,Bachelors,13,40,>50K
Other-service,White,Male,26,HS-grad,9,40,<=50K
Exec-managerial,White,Male,33,Bachelors,13,40,>50K
Transport-moving,White,Male,46,11th,7,30,<=50K
?,White,Male,59,Bachelors,13,40,>50K
Adm-clerical,White,Male,38,HS-grad,9,40,>50K
Other-service,Other,Male,65,11th,7,40,<=50K
Tech-support,White,Male,40,Assoc-voc,11,40,>50K
Adm-clerical,White,Female,42,HS-grad,9,35,<=50K
Craft-repair,White,Male,26,9th,5,40,<=50K
Other-service,White,Female,36,10th,6,24,<=50K
Prof-specialty,White,Male,62,Masters,14,40,>50K
Transport-moving,White,Male,43,Bachelors,13,45,<=50K
Exec-managerial,White,Male,43,Bachelors,13,45,>50K
Sales,White,Male,22,HS-grad,9,55,<=50K
Craft-repair,White,Male,28,HS-grad,9,40,<=50K
Sales,White,Male,56,Some-college,10,45,<=50K
Sales,White,Female,22,Assoc-acdm,12,15,<=50K
Exec-managerial,White,Female,57,Bachelors,13,45,>50K
Sales,White,Female,39,HS-grad,9,40,<=50K
Adm-clerical,White,Female,26,Some-college,10,15,<=50K
Other-service,White,Male,17,11th,7,10,<=50K
Machine-op-inspct,White,Male,40,Assoc-voc,11,38,>50K
Machine-op-inspct,Black,Male,45,HS-grad,9,40,<=50K
Craft-repair,Black,Male,44,HS-grad,9,40,<=50K
Adm-clerical,White,Female,20,Some-college,10,10,<=50K
Craft-repair,White,Female,33,HS-grad,9,40,<=50K
Sales,White,Male,23,Some-college,10,40,<=50K
Exec-managerial,White,Male,46,Masters,14,30,<=50K
Sales,White,Male,38,HS-grad,9,50,<=50K
Transport-moving,White,Male,54,HS-grad,9,40,<=50K
Craft-repair,White,Female,46,5th-6th,3,45,<=50K
Craft-repair,White,Male,25,Some-college,10,40,<=50K
Sales,White,Female,46,Some-college,10,40,<=50K
Transport-moving,White,Female,36,Some-college,10,40,<=50K
Other-service,White,Female,23,HS-grad,9,25,<=50K
Machine-op-inspct,White,Male,29,HS-grad,9,40,<=50K
Adm-clerical,White,Female,44,Some-college,10,6,>50K
Adm-clerical,White,Female,19,Some-college,10,16,<=50K
Other-service,White,Female,19,HS-grad,9,40,<=50K
Other-service,White,Female,35,HS-grad,9,40,>50K
Craft-repair,White,Male,27,Bachelors,13,50,<=50K
Craft-repair,White,Male,46,Assoc-acdm,12,40,<=50K
Exec-managerial,White,Male,34,Bachelors,13,45,>50K
Other-service,White,Female,34,HS-grad,9,35,<=50K
Tech-support,White,Male,44,Some-college,10,40,<=50K
Handlers-cleaners,White,Female,45,Some-college,10,40,<=50K
?,White,Female,20,HS-grad,9,35,<=50K
Exec-managerial,White,Male,25,Bachelors,13,55,>50K
Exec-managerial,White,Male,52,Bachelors,13,50,>50K
Handlers-cleaners,White,Male,20,Some-college,10,40,<=50K
Other-service,White,Female,28,Some-college,10,40,<=50K
Protective-serv,White,Male,50,Bachelors,13,40,>50K
Tech-support,White,Female,34,Assoc-voc,11,64,<=50K
Handlers-cleaners,Other,Male,28,7th-8th,4,40,<=50K
Exec-managerial,White,Male,41,Masters,14,65,>50K
Adm-clerical,White,Male,28,HS-grad,9,40,<=50K
Craft-repair,White,Male,46,HS-grad,9,25,<=50K
?,White,Female,28,Some-college,10,40,>50K
Exec-managerial,White,Male,32,Some-college,10,50,<=50K
Other-service,Black,Female,41,Some-college,10,24,<=50K
Handlers-cleaners,Black,Female,24,HS-grad,9,40,<=50K
Exec-managerial,White,Female,33,Some-college,10,40,<=50K
Exec-managerial,White,Male,46,Doctorate,16,60,>50K
Machine-op-inspct,White,Male,31,Some-college,10,40,<=50K
Craft-repair,White,Male,35,12th,8,50,>50K
Machine-op-inspct,White,Male,52,1st-4th,2,40,<=50K
Other-service,White,Female,30,11th,7,19,<=50K
Machine-op-inspct,Black,Male,34,11th,7,40,<=50K
Transport-moving,White,Female,34,HS-grad,9,40,<=50K
Sales,White,Male,20,Some-college,10,30,<=50K
Handlers-cleaners,White,Male,17,11th,7,18,<=50K
Exec-managerial,White,Female,32,Bachelors,13,40,>50K
Farming-fishing,White,Male,29,HS-grad,9,40,<=50K
Craft-repair,White,Female,33,10th,6,35,<=50K
Transport-moving,White,Male,25,HS-grad,9,60,<=50K
Prof-specialty,White,Male,36,Masters,14,40,<=50K
Handlers-cleaners,White,Male,23,HS-grad,9,72,<=50K
Exec-managerial,White,Male,63,HS-grad,9,40,>50K
Prof-specialty,White,Male,47,Masters,14,40,<=50K
?,White,Male,80,HS-grad,9,24,<=50K
?,White,Male,17,11th,7,40,<=50K
Prof-specialty,White,Female,40,Bachelors,13,40,<=50K
Other-service,White,Female,30,Assoc-acdm,12,25,>50K
Craft-repair,Asian-Pac-Islander,Male,27,Some-college,10,40,<=50K
Prof-specialty,White,Male,33,Masters,14,50,>50K
Farming-fishing,Black,Male,34,HS-grad,9,60,<=50K
Protective-serv,White,Female,34,Some-college,10,40,<=50K
Adm-clerical,White,Male,23,Some-college,10,40,<=50K
Adm-clerical,White,Female,42,Some-college,10,40,<=50K
Prof-specialty,White,Male,29,Bachelors,13,40,<=50K
Adm-clerical,White,Female,45,HS-grad,9,28,<=50K
Armed-Forces,White,Male,24,HS-grad,9,40,<=50K
Prof-specialty,White,Male,44,Some-college,10,40,>50K
Craft-repair,White,Male,27,9th,5,40,<=50K
Sales,White,Male,20,Some-college,10,35,<=50K
Exec-managerial,Black,Female,44,HS-grad,9,40,<=50K
Craft-repair,Amer-Indian-Eskimo,Male,51,HS-grad,9,40,<=50K
Machine-op-inspct,White,Male,20,HS-grad,9,40,<=50K
?,White,Female,17,11th,7,5,<=50K
Machine-op-inspct,Black,Female,19,HS-grad,9,40,<=50K
Craft-repair,White,Male,45,Some-college,10,55,>50K
Craft-repair,White,Male,60,HS-grad,9,40,>50K
Exec-managerial,Black,Male,42,Assoc-acdm,12,40,>50K
Sales,White,Female,44,HS-grad,9,40,>50K
Machine-op-inspct,Asian-Pac-Islander,Male,40,Assoc-voc,11,40,>50K
Exec-managerial,White,Female,30,HS-grad,9,40,<=50K
Transport-moving,Black,Male,38,Some-college,10,50,<=50K
Transport-moving,White,Male,23,HS-grad,9,60,<=50K
?,White,Male,32,Some-college,10,40,<=50K
Farming-fishing,White,Male,44,Assoc-acdm,12,40,<=50K
Transport-moving,Black,Male,54,HS-grad,9,40,<=50K
Prof-specialty,White,Male,32,Bachelors,13,50,<=50K
Craft-repair,White,Male,50,1st-4th,2,40,<=50K
Tech-support,White,Female,24,Bachelors,13,20,<=50K
Adm-clerical,White,Female,37,HS-grad,9,60,<=50K
Transport-moving,White,Male,52,HS-grad,9,40,<=50K
Transport-moving,White,Male,38,Some-college,10,40,<=50K
Exec-managerial,White,Male,49,Masters,14,45,>50K
Tech-support,White,Female,30,Bachelors,13,16,>50K
Prof-specialty,White,Male,60,Some-college,10,40,>50K
?,White,Male,22,Some-college,10,40,<=50K
Craft-repair,White,Male,35,HS-grad,9,40,<=50K
Transport-moving,White,Male,30,HS-grad,9,60,<=50K
Other-service,White,Female,67,Assoc-voc,11,24,<=50K
Craft-repair,White,Female,46,Bachelors,13,40,<=50K
Other-service,White,Male,17,9th,5,6,<=50K
Handlers-cleaners,White,Male,22,Some-college,10,30,<=50K
Other-service,White,Male,27,10th,6,40,<=50K
Other-service,White,Female,23,HS-grad,9,35,<=50K
Craft-repair,White,Male,33,Assoc-acdm,12,45,<=50K
Craft-repair,White,Male,43,Some-college,10,20,<=50K
Prof-specialty,White,Male,28,Bachelors,13,20,<=50K
Craft-repair,White,Female,41,HS-grad,9,40,<=50K
?,Black,Male,52,12th,8,40,<=50K
Adm-clerical,Black,Female,25,Some-college,10,20,<=50K
