MeanAtomicMass,MeanAtomicValN,MeanAtomicMagnMom,MeanAtomicElNeg,MaxDiffAtomicMass,MaxDiffAtomicElNeg,T_c(K)
54.43,4.02,1.4,2.52,122.91,2.55,8
51.48,4.16,1.4,2.52,191.2,2.49,102
80.4,4.67,3.33,2.06,23.32,0.15,6.11
133,3.04,1.04,1.27,42.43,0.68,6.92
52.55,4.25,1.61,2.54,128.24,2.55,14.3
177.36,4.96,2.96,1.49,89.72,0.17,5.7
86.12,2.78,1,1.68,192.98,2.49,82.3
56.45,4.37,1.76,2.51,134.36,2.55,59
82.87,2.46,0.89,1.77,191.2,2.55,61.5
74.09,5.63,2.97,1.9,90.26,0.87,8.4
187.9,7.5,2.5,1.97,17.25,0.93,2.89
205.32,3.33,1.33,1.86,2.82,0.71,4.1
58.5,4.69,1.82,2.55,124.91,2.34,22
56.52,4.4,1.54,2.55,122.91,2.49,29
68.86,4.78,1.84,2.62,192.98,2.49,21.8
177.69,5,3.07,1.5,88.04,0.1,4.51
47.46,5.26,2.39,2.71,121.33,2.55,0.96
51.38,3.98,1.38,2.51,121.33,2.55,94.5
60.84,6.62,3.12,2.29,140.99,2.58,2.4
38.93,2.35,1,1.7,36.56,0.29,0.65
68.81,6.76,2.19,2.06,156.45,1.08,2.5
50.53,5.21,2.11,2.53,135.97,3.44,33
47.96,4.03,1.32,2.48,192.98,2.55,108
53.48,4.08,1.46,2.52,124.91,2.55,13.5
91.14,3.36,1.89,1.73,141.25,2.55,64
67.99,4.5,2.25,1.83,139.11,1.08,2
94.96,4.7,1.9,1.8,78.63,0.96,5.75
43.12,3.63,1.21,2.38,125.32,2.55,114.3
56.94,4.01,1.38,2.52,158.97,2.55,63
28.89,2.59,0.75,1.89,186.16,1.23,24.5
152.35,3.67,2.33,1.62,169.88,1.2,3.58
51.92,3.97,1.37,2.5,121.33,2.55,41.1
97.02,2.3,0.7,1.62,188.38,2.55,129
83.15,2.42,0.74,1.67,184.59,2.55,128.2
60.87,4.42,1.62,2.55,192.98,2.49,17.4
120.31,7.38,1.31,2.13,21.18,0.1,1.77
186.19,6.99,4.99,1.9,2.37,0.46,1.84
57.07,4.41,1.55,2.55,122.91,2.49,31
49.96,3.93,1.41,2.54,122.91,2.55,60.1
51.52,4.01,1.39,2.51,121.33,2.55,72
175.39,6.84,4.84,1.88,135.27,0.27,6.8
68.51,5.25,1.98,2.21,31.1,1.01,3.49
96.3,8.4,2.88,2.19,55.04,0.74,4
60.27,4.42,1.62,2.56,192.98,2.49,81.9
123.76,3.75,1.75,1.75,21.41,0.86,4.33
56.8,4.42,1.55,2.55,122.91,2.49,30
53.68,4.58,1.29,2.43,157.06,3.44,77
79.73,2.27,0.82,1.72,121.33,2.55,72.3
52.75,4.37,2.37,1.67,42.74,0.2,9.4
59.67,4.15,1.52,2.54,191.2,2.49,35
56.56,4.36,1.77,2.5,134.36,2.55,83.6
51.69,4.04,1.41,2.53,122.91,2.55,79.8
79.93,2.49,0.89,1.73,121.33,2.55,84
33.75,3.17,1.17,1.58,113.93,0.48,1.12
76.08,5.56,2.84,1.78,98.23,1.36,13
57.88,4.41,1.55,2.55,122.91,2.55,5.98
60.53,4.43,1.63,2.56,192.98,2.49,53
55.95,4.43,1.77,2.52,134.36,2.55,76
111.38,4.25,1.75,1.89,13.75,0.42,2.68
74.44,6.83,3.67,2.17,134.36,2.81,5.6
61.76,4.62,2.62,1.69,67.77,0.33,5.6
88.64,5.83,1.17,1.77,211.05,0.82,2
50.84,4.04,1.41,2.54,122.91,2.55,61.7
50.53,4,1.38,2.52,121.33,2.55,89
55.76,4.54,1.57,2.65,191.2,2.49,25.2
128.15,5.56,2.59,2.28,130.01,0.95,3.52
41.27,4.41,1.02,2.41,63.9,2.51,15
51.14,5.25,2.24,2.52,135.97,3.44,40
62.43,4.62,1.82,2.56,192.98,2.49,63.8
70.64,4.67,1.77,2.6,192.98,2.49,8
190.6,1.1,1,2.5,127.24,0.73,0.03
110.43,3.99,1.28,1.7,81.18,0.76,1.92
58.05,4.96,2.08,2.56,124.91,2.32,15
91.86,4.38,3.14,1.43,1.68,0.27,8.7
48.81,5.07,2.07,2.53,135.97,3.44,35
43,4.09,1.41,2.53,72.91,2.49,56
76.7,4.75,4.25,1.68,64.82,0.3,18.6
186.15,6.98,4.98,1.91,2.37,0.46,3
46.24,4.77,2.82,1.71,67.87,0.53,10.4
117.88,4.04,4.04,1.83,104.06,0.94,11
76.16,5.6,2.8,1.85,45.22,1.25,20.1
91.22,4,2,1.33,0,0,3.5
57.35,4.04,1.45,2.5,158.97,2.55,40.1
62.59,4.5,1.7,2.56,192.98,2.49,25.9
89.17,5.82,0.82,1.87,35.24,1.25,2.62
57.36,4.9,1.48,2.52,151.26,2.55,46
139.11,3.09,1.09,1.08,13.06,1.1,1.58
141.68,4.9,2.07,1.91,73.51,0.93,3.2
56.81,4.41,1.55,2.55,122.91,2.49,30
48.21,4.28,1.66,2.47,135.97,3.44,62
77.42,4.5,4,1.61,65.92,0.21,19.1
64.19,4.67,1.33,2.22,114.89,1.74,6
51.1,3.99,1.45,2.54,124.91,2.55,60
15.45,2.73,0.73,1.82,16.17,0.73,25.7
74.32,6.76,3.74,2.16,134.36,2.81,39
150.63,4.34,1.67,2.25,69.37,0.44,1.89
86.94,6.31,3.56,1.82,128.24,2.3,54
51.95,3.97,1.37,2.5,121.33,2.55,23
80.04,5.76,2.24,1.51,35.38,0.58,2.04
44.17,4.44,1.46,2.6,124.12,2.49,10
55.23,4.57,1.74,2.59,192.98,2.44,33.5
59.61,5.05,3.57,2.06,80.9,0.98,4.43
110.25,5,4.61,1.58,88.04,0.1,7.85
22.81,3.71,1.71,2.32,75.61,1.6,1.65
77.75,4.5,3.97,1.6,153.97,0.11,17.7
163.42,6.79,3.58,1.78,150.29,0.85,4.2
42.83,3.66,1.22,2.39,125.32,2.55,116.3
97.32,6.7,5.3,1.98,1.96,0.26,12
47.23,4.17,1.49,2.53,132.23,2.55,74
190.13,3.75,1.75,2.02,68.29,1.23,4.1
60.36,5.79,3.64,2.31,63.89,1.22,2.67
72.34,4.64,1.73,2.63,192.98,2.49,35
71.59,2.73,1.13,1.56,109.24,1.01,1.74
97.77,4.51,2.51,2.02,168.94,1.05,11.84
56.59,4.5,1.54,2.64,191.2,2.49,25.1
59.56,4.25,2.75,1.55,45.04,0.27,7.4
89.68,2.61,1.07,1.68,192.98,2.65,107.3
97.02,3.04,1.26,1.77,192.98,2.49,78.9
57.29,4.14,1.36,2.43,184.59,2.49,18
68.43,6.28,3.23,2.16,128.24,2.84,28
50.46,3.96,1.36,2.51,121.33,2.55,88.7
57.93,4.45,1.57,2.55,124.12,2.34,24.2
52.78,4.95,3.9,2.34,83.94,1.01,13.5
88.8,6.2,1,1.89,146.88,0.93,0.67
97.84,5.5,1.75,1.8,167,1.16,0.14
153.73,5.53,2,2.18,79.6,0.23,1.65
66.71,4.11,1.36,2.48,191.2,2.49,39
98.31,3.04,1.29,1.77,192.98,2.49,77
73.34,6.44,3.69,2.08,149.35,2.27,55
101.22,4.28,1.94,1.98,149.1,1,3
61.28,4.44,1.64,2.56,192.98,2.49,25.5
110.04,5,2,1.87,119.59,1.08,1.61
95.04,5.78,4.43,1.74,13.51,0.6,1.53
41.73,4.51,1.43,2.5,148.93,2.49,18
171.37,6.22,2.77,1.99,153.14,0.19,4.08
51.32,4,1.39,2.52,122.91,2.55,78
57.33,4.45,1.57,2.56,122.91,2.34,19.2
12.56,3.88,1.97,2.48,10.98,2.11,14.7
138.86,8.67,2,1.37,51.29,2.05,1.3
76.95,4.26,1.36,2.5,188.38,2.55,56
103.28,5.7,2.23,1.82,150.41,0.98,1.95
104.66,4.71,1.57,1.93,59.93,1.45,10
67.79,5.48,2.92,1.77,98.23,1.36,24.5
71.25,4.91,1.88,2.63,192.98,2.62,20.4
80.11,2.29,0.86,1.73,122.91,2.55,85.5
56.79,4.9,1.64,2.52,146.5,2.55,54
61.02,4.41,1.61,2.55,192.98,2.49,89.5
70.39,4.5,3.5,1.57,45.04,0.06,10.3
13.02,2.85,0.86,1.94,52.74,0.73,37.3
30.42,3.25,1.25,1.61,13.1,0.9,6.4
59.77,4.1,1.47,2.55,191.2,2.49,45
49.72,3.93,1.4,2.54,121.33,2.55,83
91.41,4.08,2.16,1.36,4.73,0.83,4.47
77.97,4.83,1.69,1.95,108.85,1.48,2.69
51.29,4.02,1.36,2.52,121.33,2.55,27
81.96,6.67,2,1.85,62.83,1.28,6.4
67.16,6.32,4.05,2.31,125.19,1.38,1.4
50.58,4.11,1.44,2.56,124.91,2.55,68.3
76.32,6.65,3.65,2.16,216.04,2.27,51.4
61.07,5.8,2.92,2.57,141.25,2.32,17.8
75.16,3.89,1.12,2.43,184.59,2.55,28
192.1,8.96,3.04,2.19,6.01,0.3,1.7
82.8,6.78,0.82,1.84,79.44,0.87,2.1
54.41,4.96,1.7,2.65,191.2,2.55,90.25
110.12,7.5,0.75,1.9,80.03,0.98,3.73
139.87,4.97,1.98,2.1,92.38,0.55,0.7
73.21,4.6,1.75,2.56,192.98,2.49,6
99.77,6.2,1,1.9,66.28,1.1,0.82
37.89,4.05,1.33,2.49,72.91,2.49,14
56.26,4.19,1.6,2.5,128.24,2.55,45.8
159.13,6.7,5.3,1.98,90.26,0.26,7.62
129.49,4,1.28,1.75,80.27,1.16,0.9
45.26,3.2,0.8,1.7,181.22,0.63,8.6
49.72,3.94,1.4,2.54,121.33,2.55,25
43.8,7.17,1.6,1.94,53.37,1.24,4
39.86,5.4,1.6,1.93,78.1,1.33,8.7
64.43,5.13,4.26,2.29,166.48,1.25,9.87
48.32,4.47,1.53,2.58,124.12,2.49,47
91.46,6,3.71,2.33,48.63,0.45,6.23
50.19,3.9,1.39,2.49,121.33,2.62,92.85
114.01,6.88,1.91,1.65,114.12,1.96,3.4
131.38,5.8,1.4,1.64,106.18,1.06,0.9
124.23,3.2,1.2,1.8,94.16,0.24,5.05
131.85,5.24,2.2,2.36,130.01,0.62,1.07
56.83,4.41,1.55,2.55,122.91,2.49,8.3
56.94,4.52,1.56,2.65,191.2,2.49,27.8
47.3,4.18,1.38,2.56,188.38,2.55,100
96.3,3.64,1.64,1.69,66.28,0.91,1.87
56.8,4.42,1.55,2.55,122.91,2.49,30.6
82.17,4.5,3.87,1.6,153.97,0.11,15.4
104.05,1.2,1,1.92,38.15,0.12,0.01
65.54,4.05,1.25,2.53,188.38,2.55,42.1
44.79,4.08,1.44,2.54,170.21,2.49,73
52.33,4.1,1.47,2.51,141.25,2.55,44.1
90.05,2.69,1.1,1.73,192.98,2.49,107
120.77,7.29,1.35,2.13,21.18,0.1,1.89
87.34,6.02,2.7,2.39,192.98,2.84,5.21
51.55,4,1.39,2.52,124.91,2.55,91.5
98.33,3.02,1.27,1.78,192.98,2.49,90.58
65.8,4.35,3.05,1.55,45.04,0.27,8.6
132.91,3.01,1.01,1.27,42.43,0.68,8.5
74.96,6.26,3.3,2.1,128.24,2.3,51.9
80.77,2.29,0.84,1.73,121.33,2.55,75.92
95.59,4.75,4.3,1.67,91.73,0.41,13
57.72,5,1.31,2.43,157.06,3.44,83.3
53.2,4.25,1.49,2.53,192.98,3.44,115.5
123.23,5.02,2,2.03,8.89,0.14,0.17
52.26,3.91,1.35,2.48,121.33,2.55,79.3
63.76,5.46,2.94,1.79,114.34,1.29,24.2
54.38,3.82,1.2,2.44,184.59,2.55,132
99.79,7.5,4.5,2.19,5.12,0.04,2.6
182.95,8.83,3.17,2.2,91.15,0,0.16
59.53,4.51,1.61,2.56,192.98,2.49,83.9
186.9,3.88,1.88,2.03,92.38,1.16,6.9
183.33,8,2.67,2.02,53.31,1.1,2.13
92.48,4.67,4.17,1.66,91.73,0.36,15.8
85.23,5.64,2.76,1.8,136.37,1.31,27.4
73.29,5.39,2.47,1.82,155.01,1.28,32.8
59.01,4.44,1.62,2.57,192.98,2.49,88.6
45.13,5.4,2.33,2.15,82.76,0.95,3.9
211.87,6.14,4.14,1.4,183.09,0.17,2.88
85.77,4.66,4.21,1.64,91.73,0.41,15.2
114.06,6.65,3,1.84,39.05,1.1,6.55
97.52,2.31,0.72,1.64,188.38,2.55,118
59.6,5.22,2.33,2.02,90.26,0.98,1.4
74.67,3.62,1.98,1.88,37.02,0.35,7.07
113.9,6.51,3,1.84,39.05,1.1,0.67
130.15,6.5,4.25,1.83,99.31,0.6,7.9
81.28,2.6,0.94,1.73,121.33,2.55,31
126.97,4.5,1.5,1.91,96,1.28,0.56
57.27,4.86,1.46,2.52,151.26,2.55,89
74.15,4.95,1.85,2.64,192.98,2.62,28
56.45,4.41,1.54,2.55,122.91,2.49,4.6
55.92,4.47,2.47,1.68,18.78,0.18,13.6
91.56,4.2,2.6,1.38,1.68,0.27,9.2
94.26,5.2,1.6,1.5,15.2,0.87,2.91
103.13,2.88,1.32,1.73,192.98,2.49,75
57.93,4.44,1.57,2.55,124.12,2.34,29.75
80.58,5.4,1.6,1.83,167,1.28,1.3
66.66,4.73,2.73,1.71,67.77,0.33,3.8
79.6,7.58,3.58,1.78,142.93,3.44,35.7
89,2.69,1.08,1.72,192.98,2.49,83
137.1,5.25,2.25,1.78,203.95,0.9,3.82
167.01,4.98,1.99,2.21,184.21,1.4,1.87
98.35,2.88,1.12,1.8,191.2,2.55,25
77.26,6.28,2.7,2.05,165.28,1.73,26.25
84.44,7,3,2.03,71.75,0.72,13.3
76.24,5.56,2.84,1.78,98.23,1.36,10.5
58.74,4.68,1.82,2.54,124.91,2.34,27
50.88,4.02,1.39,2.53,121.33,2.55,90
97.1,4.17,2.03,1.7,203.95,0.6,2.18
58.57,6.4,3.6,2.38,135.97,3.44,6
52.92,4.23,1.61,2.52,162.49,2.55,71.9
88.26,4.65,2.25,1.91,66.28,1.1,3.9
53.81,4.01,1.4,2.51,122.91,2.55,52
40.85,4.39,1.04,2.41,63.9,2.51,23.5
29.43,3.18,1.18,1.61,42.74,0.2,1.53
76.85,4.52,4.01,1.61,65.92,0.95,18.1
56.92,4.7,1.61,2.52,146.5,2.55,60.6
71.44,3.97,0.94,1.73,152.94,2.49,35
113.76,6.4,3,1.83,39.05,1.1,2.01
83.18,2.67,1.24,1.73,128.24,2.55,29
55.83,4.46,1.58,2.54,122.91,2.49,37
82.9,6,3.71,2.39,63.89,0.42,4.48
74.54,4.25,1.34,2.51,188.38,2.55,88
188.05,3.04,1.04,1.49,65.47,0.52,0.8
158.42,3,2,1.98,101.11,0.09,2.78
49.38,4.1,1.41,2.54,191.2,2.55,25
58.51,5,2.11,2.56,124.91,2.32,22.4
66.01,4.96,2.08,2.68,192.98,2.62,10.2
91.41,4.08,2.16,1.36,4.73,0.83,2.53
59.21,4.43,1.6,2.55,192.98,2.49,74
86.13,5.4,2,2.4,192.98,2.88,2.93
61.48,4.34,1.48,2.53,188.38,2.49,40
51.48,5.22,2.28,2.7,128.24,2.3,27.85
79.8,5.62,2.78,1.78,81.48,1.29,4.1
57,4.35,2.35,1.69,18.78,0.18,6.3
34.7,4.81,1.74,2.34,58.92,2.44,33
57.79,3.86,1.3,2.4,122.91,2.55,32
144.55,6.9,2.31,2.16,128.67,0.65,2.8
51.76,4.01,1.4,2.52,124.91,2.55,83
121.18,7.21,1.39,2.13,21.18,0.1,1.85
138.91,3,1,1.1,0,0,6.24
21.08,3.83,1.17,1.89,48.12,0.73,31.5
35.74,4.75,1.75,2.24,58.92,2.44,28.2
57.61,4.91,2.05,2.55,134.36,2.49,18.1
82.67,5.76,2.8,1.91,110.82,1.1,6.44
151.04,4.67,2.67,1.44,89.72,0.17,2.3
52.53,4,1.18,2.53,184.59,3.09,135
50.67,5.13,2.05,2.54,135.97,3.44,37
56.73,4.42,1.55,2.55,122.91,2.49,25
52.66,3.92,1.36,2.48,121.33,2.55,58.8
51.34,4.02,1.36,2.53,121.33,3.09,91
74.07,5.67,2.33,1.84,74.82,0.95,10.5
89.52,2.83,1.06,1.7,192.98,2.49,113
90.41,2.71,1.07,1.72,192.98,2.49,85
77.47,5.2,2.2,2.08,148.89,1.76,3.8
51,4.02,1.38,2.53,121.33,3.09,91
47.86,4.14,1.52,2.52,128.24,2.55,63
140.56,4,2.5,2.17,75.21,0.49,6.7
56.48,4.4,1.54,2.55,122.91,2.49,20
57.68,4.29,1.43,2.52,122.91,2.55,11
105.49,5.48,2.07,2.02,122.45,2.28,7.78
89.97,5.33,2,1.76,110.82,1.18,4.35
119.59,3.46,1.42,1.7,192.98,2.49,12.9
47.66,3.79,1.36,2.5,136.32,2.55,93.2
87.88,2.63,1.03,1.73,192.98,2.49,108.9
66.42,5.06,2.54,1.8,98.83,1.18,35.1
98.78,4.75,4.25,1.69,46.08,0.41,18.1
78.74,4.67,1.76,2.6,192.98,2.55,95
65,1.48,1.16,1.92,9.08,0.11,0.12
212.82,6.43,3.86,1.45,179.1,0.9,2
13.37,1.92,0.08,1.6,54.53,0.33,0.84
68.23,4.14,1.36,2.5,184.59,2.55,12
57.88,4.41,1.56,2.55,122.91,2.55,29
36.74,4.32,1.43,2.61,76.81,2.49,26.5
65.24,4.13,1.33,2.49,188.38,2.55,114.1
62.55,6,2.67,1.96,39.87,1.73,29.5
78.75,5.25,2.25,2.07,220.03,1.25,2.65
41.93,4.59,1.51,2.52,72.91,2.49,38
135.48,7.86,2.14,1.9,58.51,0.97,2
76.24,4.51,4,1.61,65.92,0.3,18
60.03,5.45,2.58,2.57,141.25,2.32,18
57.75,4.4,1.6,2.57,192.98,2.49,73.5
54.68,4.19,1.58,2.51,128.24,2.55,70.8
110.99,7.58,0.82,1.9,78.35,0.98,3.8
56.84,4.44,1.58,2.55,124.91,2.49,37.4
50.25,4,1.36,2.51,121.33,2.55,89.1
43.71,4.39,1.68,2.57,76.91,2.49,27
79.35,2.26,0.88,1.73,121.33,2.62,64.4
60.93,5.76,2.88,2.57,134.36,2.32,21.4
156.5,2,0,1.84,88.18,0.31,2.15
50.21,4.04,1.41,2.54,122.91,2.55,73
51.27,4.01,1.37,2.52,121.33,2.55,55.1
49.36,4.48,2.48,1.58,3.07,0.09,7.2
51.43,3.99,1.38,2.52,121.33,2.55,82
97,2.98,1.23,1.78,192.98,2.49,60.7
66.48,5.15,2.65,1.8,100.83,1.18,10
57.18,4.78,1.92,2.55,124.91,2.49,29.6
89.19,2.19,0.87,1.66,122.91,2.55,21
53.3,4.07,1.46,2.52,124.91,2.55,21.9
60.02,4.53,1.71,2.57,192.98,2.49,89.8
60.33,4.46,1.62,2.55,192.98,2.49,83.76
63.64,6.04,2.65,2,39.87,1.73,32
68.95,4.74,1.7,2.63,192.98,3.03,25.1
51.33,4,1.38,2.52,121.33,2.55,91.6
51.33,4.92,2.42,2,60.25,1.25,4.85
88.62,5.78,1.9,2.07,184.27,1.45,3.45
50.87,4.45,1.79,2.61,141.25,2.55,34.8
52.19,3.94,1.38,2.5,121.33,2.65,93.45
125.65,3.2,1.2,1.28,66.28,0.91,5.1
81.29,4.6,4.15,1.59,65.92,0.28,10
51.22,4.04,1.39,2.52,121.33,2.55,78.3
113.78,7.53,1.47,2.12,76.8,0.84,1.56
52.92,6.52,1.84,1.95,164.16,1.33,2
216.72,6,4.3,1.5,142.08,0.78,2.11
51.68,3.99,1.37,2.51,121.33,2.55,47.6
104.02,4.56,1.25,1.7,184.59,2.49,64
95.24,4,2,2,43.79,0.49,2.29
71.12,4.36,2.92,1.55,133.08,0.1,8.74
64.89,4.35,1.45,2.54,188.38,2.55,25
49.68,4,1.42,2.54,121.33,2.55,58
56.42,4.85,1.6,2.55,122.91,2.49,13.5
68.28,4.63,1.73,2.59,192.98,2.49,8.5
55.71,4.87,1.99,2.56,124.91,2.32,9.5
82.96,4.52,1.85,2.41,192.98,2.49,22
58.58,4.04,1.3,2.49,188.38,2.55,124
132.3,7,1.5,1.47,54.34,1.96,3.6
100.62,6.78,2.11,2.03,181.41,1.05,1.26
47.64,4.03,1.42,2.52,124.91,2.55,52
57.25,3.91,1.35,2.49,158.97,2.55,65
53.36,7.5,1.52,1.95,158.12,1.3,7.7
53.4,7.51,1.53,1.95,158.12,1.3,4.4
51.56,4.03,1.4,2.51,121.33,2.55,82.5
47.69,4.12,1.44,2.63,122.91,2.55,57
58.2,4.41,1.56,2.55,122.91,2.55,27
149.62,7.17,2.17,2.15,67.48,0.18,3
45.68,4.29,1.64,2.64,128.24,2.55,84
54.35,5.51,1.51,1.95,164.16,1.28,14
59.79,4.62,1.62,2.56,192.98,2.49,91.5
76.7,3.75,1.75,1.81,16.28,0.79,2.35
55.12,5.01,4.03,2.29,78.9,1.84,14.7
88.5,2.7,1.1,1.72,192.98,2.49,88
50.39,4.16,1.46,2.52,192.98,2.49,110
57.27,4.47,1.61,2.55,128.24,2.49,26
56.31,4.4,1.54,2.55,122.91,2.49,25
49.36,4.02,1.4,2.53,122.91,2.55,79
55.75,5,4.06,2.28,78.9,1.44,12.1
53.36,4.02,1.43,2.5,124.91,2.55,6.3
52.54,3.93,1.36,2.49,121.33,2.55,58
149.25,7.04,2.29,2.14,67.48,0.18,1.92
100.57,8,2.67,2.1,14,1.06,0.56
60.17,4.85,3.7,2.29,166.48,1.25,9
79.84,4.07,1.21,1.77,151.26,2.49,35.1
72.78,3.86,1.14,2.43,184.59,2.55,95.5
49.47,3.93,1.4,2.54,121.33,2.55,83.8
71.51,5.6,2.8,1.78,106.35,1.3,20.8
91.26,3.31,1.84,1.73,141.25,2.55,37
36.04,4.43,1.5,2.66,75.61,2.49,35
86.29,5.86,2.54,2.39,192.98,2.84,3.51
99.89,4.79,1.95,1.79,164.13,0.93,5.52
52.57,4.09,1.33,2.49,188.38,2.49,87
67.49,4.09,1.29,2.54,188.38,2.55,52.3
57.07,4.46,1.58,2.57,122.91,2.49,40
87.94,2.66,1.06,1.72,192.98,2.49,97.1
51.93,3.95,1.37,2.5,121.33,2.55,70.8
69.42,4,1.33,1.78,181.22,0.63,3.07
74.36,2.29,0.86,1.74,121.33,2.55,82.5
64.99,4.07,1.27,2.51,188.38,2.55,53
45.75,5.03,1.67,2.59,85.07,2.49,45
62.24,4.33,1.44,2.53,188.38,2.49,32
140.61,8.33,1,2.14,102.56,0.18,4.2
130.61,5.71,3.24,2.03,89.16,1.07,1.21
117.16,4,2,1.71,69.18,0.95,2.4
147.88,5.67,3,1.89,115.31,0.9,3.2
56.81,4.41,1.55,2.55,122.91,2.49,6.6
60.74,5.67,2.79,2.57,141.25,2.32,10.1
69.79,5.12,2.56,1.8,100.04,1.18,43
77.61,4.52,4.03,1.6,65.92,0.28,18.3
75.67,4.4,3.6,1.68,65.92,0.41,19.5
51.66,5.29,2.21,2.63,191.2,2.49,29.1
57.35,5.03,1.4,2.52,152.94,2.55,84
156.9,7,2,2.12,76.37,0.32,0.37
146.96,8.8,3.2,2.21,89.31,0.38,0.08
114.15,3.55,1.55,1.9,192.98,2.49,7
79.9,5.57,2.75,1.78,81.48,1.29,13.42
176.15,8.33,3.67,2.21,89.31,0.08,0.35
129.51,4,1.29,1.75,77.4,1.08,0.66
59.35,5.25,2.36,2.56,128.24,2.32,11
155.11,6,3.33,1.77,101.32,0.98,2
56.8,4.43,1.55,2.55,122.91,2.49,31.7
47.98,4.04,2.07,1.54,4.13,0.12,3.6
79.71,7.82,3.3,2.12,146.5,2.22,51
17.04,3.08,1.08,1.99,164.16,0.77,5.97
52.68,7.2,1.8,1.95,158.12,1.33,5.77
47.97,4.06,1.41,2.54,121.33,2.55,49.3
56.25,4.55,1.92,2.53,141.25,2.55,93.8
66.97,4.86,1.93,2.63,192.98,2.62,8.71
47.66,4.05,1.43,2.52,124.91,2.55,40
