address,year,day,length,weight,count,looped,neighbors,income,label
15dLXcCsVL4XbxGdWgUt3LsC2cLPpAHXMa,2014,149,8,0.5,2,0,2,1899990000.0,paduaCryptoWall
14a7C1M3PnjcqHPvNJa3dvfstZyEHMS9XV,2015,97,0,0.5,1,0,1,230000000.0,montrealNoobCrypt
1Gehkhrk8cCwUESGGsJw2KLEwzt689BvLd,2014,170,144,1.01339905792346,1033,0,1,42384581.0,paduaCryptoWall
1DsR7RxShHDhpURmPNPgHUUgZcpkCrdsX4,2015,353,0,1.0,1,0,1,52000000.0,white
1F1xvrpBRYtGk8fXQzM5ZnL48owKApww3n,2014,299,0,1.0,1,0,1,43742946.0,white
1Ga8oKC9GKCvLYeJizZxWh1MUEzQogi3Xo,2017,206,4,0.03125,1,0,2,40000000.0,princetonCerber
17zEMR6RbwjDRrBqXiPvtpCMEyxVffPxeM,2016,295,144,0.0609994766999926,3484,0,2,87040000.0,princetonCerber
3MsnqiLGJBqrrCgN5t6pNGakSRSyPRJ9wM,2017,310,56,0.1,1,0,2,84367186.0,white
3KyrdzKS4cCgUe7iAkD6EDCDe7qPmQ9SfW,2016,206,0,0.5,1,0,1,726819819.0,white
1FAtmpz7C7R4xHFy2MRcRMpKKTBJtVuuM6,2014,68,0,1.0,1,0,1,85000000.0,paduaCryptoWall
19VhpK9RiD28uANX8SATNrV4sveH7D4Xf1,2016,204,24,0.015625,1,0,1,119990000.0,montrealCryptXXX
1DNSKKoK4UkZeBYuL2FK6QfbJeYT8wQndo,2013,165,8,0.25,1,1,4,184722274.0,montrealCryptoLocker
12AFvDtzV8ivabuKMGWaypHbCY1HNGgSKM,2016,143,0,1.0,1,0,2,74021238.0,white
1FARwUV3Whfm8EfqHzHUPXVwLDYBhWjhcr,2012,362,122,4.75862603103507e-13,2639,0,2,260294088.0,white
1MgoPPzn65Y69yEa57jgZyMPyZ5J87DqUX,2016,94,0,1.0,1,0,2,31100000.0,white
1CJbs3pHFuRmmAuu5RZxQQoUyTrfS6Stv7,2016,190,6,0.125,1,0,2,100000000.0,princetonCerber
1PxUHPuVfX8nPCskqdJqCXqsUe7Bknn1jM,2013,290,6,0.0043859649122807,1,0,2,50000000.0,montrealCryptoLocker
1JrJZwmpn5xGJchM8ohKxKpYk13qDZ4BCq,2013,330,0,3.0,3,0,4,420700000.0,montrealCryptoLocker
1MSiPjz1vMDaPY4y5Uw3T2cfuZcxekBdUe,2014,114,0,1.0,1,0,1,557000000.0,paduaCryptoWall
1B3iLbCHdAXJYT7C9bYFbKDqgtUZg48o9m,2013,323,12,0.035,4,0,2,4882075024.0,white
15Pf7KYHe48H1E8xDEvDHem9ygXzYBs8Tt,2015,356,144,2.83245885106953e-08,6750,0,2,311000000.0,white
14gqy4kbbb8kf1R29wVHU2xDsjdX58RguJ,2017,197,0,0.5,1,0,1,111776356.0,white
1NaRMgB35pGH3hpoYYCUm4cKatA36pxtxs,2016,137,12,0.015625,1,0,1,400000000.0,montrealDMALocker
156kdHQhPLC4dTmtQJrhRsbxg9HMsyeiiF,2016,128,2,0.5,1,0,2,125000000.0,princetonCerber
1CRcVgVMjUWwZ2UQESiBkbkDHwoMPWpPt3,2011,301,8,0.03125,1,0,1,258613972.0,white
13V2nmqxmucuMQfHGFa5CE1WJbDbE9BwJr,2011,67,42,0.0020358745868389,28,27,2,86000000.0,white
1FYWoVcnR87j5pP2U5ETqURzrA19cgoh1J,2015,313,4,1.0,1,0,1,135000000.0,paduaCryptoWall
1A5GEZu8UoQy9YXNmWnSJzfbBog8Qt8bVT,2016,265,4,0.25,1,0,1,187000000.0,white
17zo2svVhSvsr1D7295paNvifimadorn18,2014,73,0,1.0,1,0,1,54900000.0,paduaCryptoWall
1HLzctGNQdHqbwzi5wNadMk4jACTJFUKSM,2017,307,34,0.015625,1,0,2,1328071750.0,white
126sk8mK4pKPGStciNssscEoEU8eeiqoUV,2014,55,12,0.463979027177444,12,4,6,2621000000.0,montrealCryptoLocker
1FmGSbquu8go43w1pJt544ik63ZoTq2Ujm,2016,79,4,0.0555555555555556,1,0,1,50000000.0,princetonLocky
1NSJ5G4f8St8QAijsa5Y2tSncQZEGNstN5,2011,130,24,0.0048828125,2,0,2,875000000.0,white
13dFs5CAmLdC6P5U7J7HUwv1CGutFz7Uae,2017,224,42,0.00048828125,1,0,2,19450594694.0,white
1M71U3REvt6aGJiXx89VqD8G16XhcPVFPj,2013,330,6,0.25,1,0,1,42500000.0,montrealCryptoLocker
12YCuxJhEmWsgsyRKxRQu34AWoZw9Z7Gbg,2013,309,144,6.80641279895502,1594,1313,1,6257930000.0,montrealCryptoLocker
1BrqhjRRgpCpyG54HvALqcrW34DryV3u1Q,2013,77,0,1.0,1,0,2,1800000000.0,montrealCryptoLocker
1yzdYUBZJkJSCk6dBaH79ydXT7Qw5Usom,2014,247,16,0.0002034505208333,6,0,2,526428590.0,white
1Yq6LAAmz5t1pvm8f9qNPKDzsonQfYV2S,2014,124,144,0.0003466636570333,653,653,2,366000000.0,white
16N3jvnF7UhRh74TMmtwxpLX6zPQKPbEbh,2014,160,14,1.0625,2,0,2,141990000.0,paduaCryptoWall
13H3Q5p2jfwUVRxfGPsDZ1vYqxhgMsHhuu,2016,57,2,0.5,1,0,1,50000000.0,princetonLocky
16GSMa49jwjL96VeDv9Fr8JGbxJLgnSGLu,2016,104,2,1.0,1,0,2,125000000.0,princetonCerber
1Vs97ucn62MCpf6REXeDygXQQLrYE5zdZ,2015,62,144,0.0325541999109904,3693,3194,4,185880365.0,white
1JKtKvEo3m1XzdmgH9vLtbh7tqN5XkYH14,2012,325,0,0.1,1,0,1,107095713.0,white
3DmkyBqsQuoxN9yc2MwFLFJmjDj5nerLgp,2018,46,2,0.0037037037037037,1,0,1,51070000.0,white
14rPjfEdy6Eup5MriZADs6UA9UWECAJzJR,2015,216,76,2.28140407911856e-27,1,0,1,108690339.0,white
1GkVMDo8TqDxww8DgPS44D7W9HqQcHP1Q9,2016,135,0,0.5,1,0,2,120000000.0,montrealCryptXXX
1JQk2ePbwGvifWTMKAH4DQsQJVP2MBz3Vm,2013,295,72,0.0332031254656613,1,1,6,664000000.0,montrealCryptoLocker
1GQrKXwqYBEe491VyQgjB98Jw3oMfLnJVQ,2015,163,0,1.0,1,0,2,222000000.0,paduaCryptoWall
16fcR1uTJc81iMbkQWR7pH36uskSz4fsNY,2015,294,138,0.0631096733940972,14,0,2,77380000.0,white
18dpV4b4XghMEwYU4pKEDvKroZaScJAokZ,2014,84,144,3.3246711335422,1013,3,6,252687285.0,paduaCryptoWall
17NEx56xmD62knjCL7E98GsYHHQSq38Pwg,2017,19,4,1.0,1,0,1,90000000.0,white
1FND2VMfdm4Kt7JwMRRwtF4ayQanvJcRjo,2016,194,4,0.0625,1,0,2,50000000.0,princetonCerber
1JU5tAYHqw71u6MbqvgwPyJRYfVXQCPeFn,2016,123,2,0.25,1,0,1,150000000.0,princetonLocky
12ckRP9e4MdNuGvPEMPkxvsfbN6BtQkShk,2011,190,4,0.25,1,0,2,1278900000.0,white
3F6kjMmPBYSmHHhC1YZeKtpC29vWacppVD,2018,117,24,1.0,1,0,1,166645949.0,white
1BXH4oHzSc5SAL2C4f6JGiSfEJ3ec1xNWh,2015,329,0,0.5,1,0,2,154000000.0,paduaCryptoWall
1KcfyKCW9ZJQ7itoqEZvN88zq8hEhdhGoS,2016,316,0,1.0,1,0,2,288879930.0,white
1LXrSb67EaH1LGc6d6kWHq8rgv4ZBQAcpU,2013,179,12,1.2625,11,0,1,5856200000.0,montrealCryptoLocker
13iNmuUY99TXLumRUQqgB7qXpiWPHtaEeh,2016,89,6,2.5,4,0,1,410000000.0,princetonLocky
1NtWDuUedzz9XCrFtfsY8fv2i1rbcR2h1N,2014,76,38,0.0625,1,0,2,110000000.0,paduaCryptoWall
1N274i8LRmDRVV1Wo3yj5gRRkQ2hffj45y,2013,215,6,0.125,1,0,2,100000000.0,white
38quG1ZZFSDsQWecaEojtDoaz86jEha2Uf,2017,291,4,0.333333333333333,1,1,1,100000000.0,white
1EENxtSdo2crut6M6zTvZrhDTTyV4HRNTZ,2017,25,130,1.8703758541960302e-09,3,0,2,100000000.0,princetonCerber
1AWx3Kvyy1Q78ZHX1FzbYxJPGe4AHyVTU9,2014,80,144,0.481507938538016,2089,2068,2,556250000.0,paduaCryptoWall
1DZpfAkZ8PEfyyzfr6ZYnxMGCrPeRYLzBf,2015,327,136,1.52587890625e-05,1,0,1,215530000.0,paduaCryptoWall
1Fsu8jv8M8MoRPUEr6yAyagz3i3inW1Qcz,2014,104,144,0.154718884781202,1117,0,2,37462000.0,paduaCryptoWall
1rKW7B5XcAHVZg2ak33PM4fsmNbvvVsnG,2013,333,144,2.95799688449696,3346,3123,13,10416820000.0,montrealCryptoLocker
1MCymsUjJecMipBkKcpqKsZHdJCLBSyBcC,2014,190,4,0.125,1,0,1,100000000.0,paduaCryptoWall
1SuUDL78YmvBrguukegJY358GaYZHdDAW,2014,162,62,0.551512712585507,40,16,3,1500000000.0,paduaCryptoWall
1HBHFwRVuYFxMFpjh7RQYaMvP99gK8Gnbc,2013,341,144,2.00218181867486e-17,2630,0,2,143900000.0,montrealCryptoLocker
1JpxzV14M6Po8FjRgbukZg6y6NtWxP7Tvi,2013,325,10,0.0625,1,0,1,165000000.0,montrealCryptoLocker
18ZkNrBBgPcYpmKC47JwCiABBDA598Pb9S,2012,271,14,0.0625,1,0,1,30000000.0,white
1Km6g5H1AcvwtGFW9ALKf2WkttykvGNc5t,2017,4,8,0.0625,1,0,2,125000000.0,princetonCerber
1GL7c9JU4ys12xXtpPAQsRW2ufrkyszKXB,2014,155,6,1.0,1,0,1,31000000.0,paduaCryptoWall
193tqzCaEGbUDw114QwZYoLJvEoB3Ao5K8,2013,281,28,0.001953125,1,0,1,200000000.0,montrealCryptoLocker
19oEdnhyAhjdrLXMJQfVCFrgj1JarjMZx1,2016,100,0,1.0,1,0,1,100000000.0,princetonLocky
1DmeJsKBH9ubsVgtMbEoZjoPHGoc97QWQD,2013,343,134,1.43784340659475,1621,6,7,14660000000.0,montrealCryptoLocker
18uBLzvHthYKWxSmgGUWuKyNXQwbbzSazK,2013,34,16,0.25,1,0,2,33669318.0,white
1E9PsA134dDVctaiuzNwi2pPFJV9Vs9PfN,2018,35,144,0.0250198226509404,5990,4065,2,100000000.0,white
1NGtvWJUuFEq2wma5YEi9n3TD7EDUj1LjU,2012,274,2,0.25,1,0,1,60000000.0,montrealCryptoLocker
1Mmsg4ww7rXKcMpUZWzbQiWgYgubBZm24u,2014,100,12,0.0092592592592592,1,0,1,312973016.0,paduaCryptoWall
1PdQ5d3AsbNoiTp7CtAiC4YEGLgdQKsFMn,2016,217,2,0.75,1,1,3,566351660.0,white
1JTqph4yZ7dEfCBYPvQvMgqgCpeWX3x8Ck,2018,76,0,0.5,1,0,1,468779431.0,white
1CEi2zfpxbWm14kF1TJb1u6pbHmW3JUvZt,2013,315,0,0.5,1,0,2,35000000.0,montrealCryptoLocker
1GoMP2aWW4yTTdYgTVr17mpem7dwatFyBm,2017,311,144,0.329375477547594,1535,0,2,169537134.0,white
3FAJtutxZAUZ72j1Y9D2pSzRMU7VG4GrYd,2018,319,0,0.25,1,0,2,70597640.0,white
1HqyFambCHe7TZeD8bWsExF1Jm7p3URkzi,2016,249,2,0.5,1,0,1,450000000.0,princetonLocky
1APN3UdcsbDecPDvnmB7MPe8RTvZJGbPiH,2017,162,0,1.0,1,0,1,55769978.0,white
1NqpRZr1LnXGaiEruMMnk4ATAEtdsXbd11,2014,323,144,3.24432343476206e-06,2009,1782,2,99795989.0,white
1LJYvsZmTgDXBaXbnusQP1bW7FcUWxdhUX,2014,168,8,9.66183574879227e-05,1,0,1,200000000.0,paduaCryptoWall
14CUpeDzG5ut8k6b845MaamqV1dKvfNrQR,2016,241,144,0.267557397720323,1011,0,2,34500000.0,white
171vjx6pV6X355crM7vnFNuJLNjZZwTWUQ,2014,96,0,1.0,1,0,2,194568095.0,paduaCryptoWall
1Ms1JM1J4JmwUkeGuDA8Y5wDqAuau3XbPm,2016,172,144,0.0015246350308864,5378,0,2,200000000.0,princetonCerber
1Bdorn1BUcebjF1CSvG6akp6gTPFhXKhiw,2012,264,0,1.0,1,0,1,369668556.0,white
1LygTHjQtprX5wjjVjNZVCkD9J5ySqxgD9,2016,210,144,0.0574448529911933,3054,0,2,300000000.0,montrealDMALocker
13eoKmMeak1u8oNGYxUw66fNVVuUbhG82U,2016,75,4,0.25,1,0,1,50000000.0,princetonLocky
16UbgccyHrDyMygAPrbc3iTF833vykZimw,2015,47,2,0.0013736263736263,1,0,1,35253886.0,white
1LXrSb67EaH1LGc6d6kWHq8rgv4ZBQAcpU,2013,252,0,1.5,2,0,2,5886100000.0,montrealCryptoLocker
14h4pGuwa77z7BfRf89TXE8TFzgBax7aS7,2016,121,2,0.25,1,0,1,400000000.0,princetonLocky
1465mUGY64bfkkaMCqEWWvYX527vhLBUED,2016,152,144,0.403552013489368,3622,0,1,400000000.0,princetonLocky
1LE2cG1wrGUDLjdc11ts7rRkWNqtX5QjxX,2017,346,144,0.0117177415888057,1586,0,2,683125217.0,white
1PkLN5YXhjUK4Wra2bsocgDBgKFMNT62K8,2016,134,4,3.0,3,0,1,120000000.0,montrealCryptXXX
1PfpSmx1qg2tbREp1grWbSh8z1UojzT87p,2013,332,10,0.083531746031746,2,0,1,71256873.0,montrealCryptoLocker
1EbKzuxszECPsJYSZdZ8EcvP95ki6NWR2j,2015,211,0,0.5,1,0,1,162668960.0,montrealNoobCrypt
1HVPvFx6qQmurhe3jdafd9wkmUCQtVb4To,2016,159,144,0.000295514808426,2731,2731,2,100000000.0,princetonCerber
19yqWit95eFGmUTYDLr3memcDoJiYgUppc,2014,150,6,3.75,5,0,6,408993000.0,paduaCryptoWall
1973TrkGigTFgt7QT73dB4J69Xu7pHeVja,2014,342,2,0.1,1,0,2,50000000.0,white
1H5QarabRU1e9hXUvVU5QZE8jMsTpiPHgP,2017,31,8,0.125,1,0,2,100000000.0,princetonCerber
1LdbmZPzDx8hykd9TEytjngfzBgjyD2PVz,2014,106,0,1.0,1,0,1,100000000.0,white
1LdkhEbk8KLZ6YTVFc54So6NWbqNk1nt1o,2017,153,10,0.9375,4,0,2,55412326.0,white
1CxYYA5J7s5CkutPvg71CbB3h6DmwnZUJX,2014,93,8,0.0125,1,0,2,75097188.0,paduaCryptoWall
12BsyxM4jee3TbfdwtH9QUKWSpoAsvqYft,2012,32,2,0.0225961538461538,87,0,1,312000000.0,white
17R5swu28UyK1wQ13zepMWJB75v6Z6ygua,2017,33,22,0.25,1,0,2,100000000.0,princetonCerber
1KdZcxs8eU8YKM6CjRqyqFgp3fXUgiUYnV,2017,164,144,0.0430335126202694,8442,0,2,40000000.0,princetonCerber
1HrXSGHSpgEN2gyKN3qKGG7rYn45QKaTsH,2016,96,144,0.33141342510231,5326,0,2,91600000.0,white
15s4VyuVEfZXhay2cGhVq8FxzGpDMpJdje,2014,87,0,1.0,1,0,2,2000000000.0,paduaCryptoWall
392kVAK43SmiQLqkafTY55ZFeXrNpU8rQa,2018,121,0,0.0454545454545455,1,0,1,34440926.0,white
1B2o3pVHAxds48JdfTxcNMBbKMLaMbiRKA,2014,286,0,0.5,1,0,1,68620118.0,montrealNoobCrypt
1Gs1fu6K84s2udr8Xz89PB5zYmHGndVoEx,2014,151,6,0.125,2,0,1,90000000.0,paduaCryptoWall
16vE7hDy2aJdo2E1vgo99ktGBNbj9ziTFp,2014,214,144,2.03077596736815,1039,771,6,4576990000.0,white
1HZ5AFiFBZr6AqsaXkuFrtNYdAZLsBzesQ,2013,277,8,1.1875,3,0,4,76597128.0,montrealCryptoLocker
1B2o3pVHAxds48JdfTxcNMBbKMLaMbiRKA,2014,308,0,1.0,1,0,1,62511628.0,montrealNoobCrypt
1HB5XMLmzFVj8ALj6mfBsbifRoD4miY36v,2012,70,0,1.0,1,0,1,300000000.0,white
1CzEX8AKzZ6S2s4VsRDYon7QXPUSqWTCYt,2016,104,144,0.0106280921831429,4450,4406,2,98000000.0,white
15yQa254v3kH7NLAqiXVc9yCC8oA8G2brf,2018,204,144,0.174809968002138,6059,0,1,165981114.0,white
1AcDzSLphrzTKA64wFZqmRxPiSaLKPQvWq,2011,99,4,0.125,1,0,2,120267000000.0,white
13EHHEPELWjQp1GeXBzHUq7qRJYwdogTS9,2011,180,34,0.0010463169642857,30,0,1,106000000.0,white
16Zk9xyUcs8x4HtoTPLQxQ8bnRguCohw8n,2011,205,2,0.25,1,0,2,8271043950.0,white
1CoHTZngfC1csTpfZQSqwmP2Bx2So9egpb,2017,359,72,1.0,1,0,2,32308070.0,white
139uWjrMgUEmSVdNLS7cSpzbVAkU7WQS1e,2016,237,40,0.0156784436059377,5,0,2,300000000.0,princetonLocky
1tfVymojC4nv1pJJidqQusxU6X8F9rmXv,2015,173,0,0.111111111111111,1,0,1,74163063.0,white
1PbLjmiWJNHZLuM3VG93RkE16JsuxkNWDE,2014,149,6,0.125,1,0,1,41175088.0,paduaCryptoWall
17XgK7vNrqAyD5MFe66BFVmnjUGMReyJ8F,2016,197,10,0.291666666666667,4,0,1,120000000.0,montrealCryptXXX
1CfEpQbhqBQoX4SQpyK6URhdBqVTimrBmC,2013,259,0,0.05,1,0,2,100000000.0,montrealCryptoLocker
