,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,GarageArea,YrSold,LotShape,LotConfig,SalePrice
83,8892,5,5,1960,1960,1065,1,3,1,461,2007,IR1,Inside,126500
84,8530,7,5,1995,1996,1474,2,3,1,400,2009,IR1,Inside,168500
85,16059,8,5,1991,1992,2417,2,4,1,462,2006,Reg,Corner,260000
86,11911,6,5,2005,2005,1560,2,3,1,400,2009,IR2,Inside,174000
87,3951,6,5,2009,2009,1224,2,2,1,528,2009,Reg,Corner,164500
88,8470,3,2,1915,1982,1526,1,2,1,0,2009,IR1,Corner,85000
89,8070,4,5,1994,1995,990,1,3,1,0,2007,Reg,Inside,123600
90,7200,4,5,1950,1950,1040,1,2,1,420,2006,Reg,Inside,109900
91,8500,5,3,1961,1961,1235,1,2,1,480,2006,Reg,Inside,98600
92,13360,5,7,1921,2006,964,1,2,1,432,2009,IR1,Inside,163500
93,7200,6,6,1910,1998,2291,2,4,2,506,2007,Reg,Corner,133900
94,9337,6,5,1997,1997,1786,2,3,1,684,2007,IR1,Inside,204750
95,9765,6,8,1993,1993,1470,2,3,1,420,2009,IR2,Corner,185000
96,10264,7,5,1999,1999,1588,2,3,1,472,2006,IR1,Inside,214000
97,10921,4,5,1965,1965,960,1,3,1,432,2007,Reg,Inside,94750
98,10625,5,5,1920,1950,835,1,2,1,366,2010,Reg,Corner,83000
99,9320,4,5,1959,1959,1225,1,3,1,0,2010,IR1,Inside,128950
100,10603,6,7,1977,2001,1610,2,3,1,480,2010,IR1,Inside,205000
101,9206,6,5,1985,1985,1732,2,3,1,476,2010,Reg,Inside,178000
102,7018,5,5,1979,1979,1535,2,4,2,410,2009,Reg,Inside,118964
103,10402,7,5,2009,2009,1226,2,3,1,740,2010,IR1,Corner,198900
104,7758,7,4,1931,1950,1818,1,4,1,240,2007,Reg,Corner,169500
105,9375,8,5,2003,2004,1992,2,3,1,648,2008,Reg,Inside,250000
106,10800,4,7,1885,1995,1047,1,2,1,273,2007,Reg,Inside,100000
107,6000,5,5,1948,1950,789,1,2,1,250,2008,Reg,Inside,115000
108,8500,5,7,1919,2005,1517,2,3,1,0,2007,Reg,Corner,115000
109,11751,6,6,1977,1977,1844,2,3,1,546,2010,IR1,Inside,190000
110,9525,6,4,1954,1972,1855,2,4,1,325,2006,Reg,Inside,136900
111,7750,7,5,2000,2000,1430,2,3,1,400,2010,IR1,Inside,180000
112,9965,7,5,2007,2007,2696,2,4,1,792,2007,Reg,Inside,383970
113,21000,6,5,1953,1953,2259,2,3,1,450,2007,Reg,Corner,217000
114,7259,6,8,1945,2002,2320,2,3,1,180,2007,IR1,Inside,259500
115,3230,6,5,1999,1999,1458,2,2,1,440,2007,Reg,Corner,176000
116,11616,5,5,1962,1962,1092,1,3,1,288,2009,Reg,Inside,139000
117,8536,5,5,2006,2007,1125,1,2,1,430,2007,Reg,Corner,155000
118,12376,7,5,1990,1990,3222,3,5,1,594,2010,Reg,Corner,320000
119,8461,6,5,2005,2006,1456,2,3,1,390,2006,Reg,Inside,163990
120,21453,6,5,1969,1969,988,1,1,1,540,2006,IR1,CulDSac,180000
121,6060,4,5,1939,1950,1123,1,3,1,264,2007,Reg,Inside,100000
122,9464,6,7,1958,1958,1080,1,3,1,288,2008,Reg,Corner,136000
123,7892,6,5,1993,1993,1199,2,2,1,530,2008,Reg,Inside,153900
124,17043,6,5,1979,1998,1586,2,3,1,435,2009,IR1,CulDSac,181000
125,6780,6,8,1935,1982,754,1,2,1,0,2006,Reg,Inside,84500
126,4928,6,5,1976,1976,958,2,2,1,440,2007,IR1,Inside,128000
127,4388,5,7,1930,1950,840,1,3,1,0,2007,IR1,Inside,87000
128,7590,6,5,1966,1966,1348,1,3,1,453,2006,Reg,Inside,155000
129,8973,5,7,1958,1991,1053,1,3,1,750,2006,Reg,Inside,150000
130,14200,7,6,1966,1966,2157,2,4,1,487,2006,Reg,Corner,226000
131,12224,6,5,2000,2000,2054,2,3,1,390,2009,IR1,Corner,244000
132,7388,5,6,1959,2002,1327,1,3,1,624,2007,Reg,Corner,150750
133,6853,8,5,2001,2002,1296,2,2,1,471,2009,IR1,Inside,220000
134,10335,5,6,1968,1993,1721,2,3,1,440,2006,IR1,Inside,180000
135,10400,7,6,1970,1970,1682,2,3,1,530,2008,Reg,Inside,174000
136,10355,5,5,1967,1967,1214,2,3,1,318,2007,IR1,Corner,143000
137,11070,7,5,1988,1989,1959,3,5,2,766,2006,Reg,Inside,171000
138,9066,8,5,1999,2000,1852,2,3,1,660,2008,IR1,Inside,230000
139,15426,6,5,1997,1997,1764,2,3,1,470,2009,IR1,Inside,231500
140,10500,4,5,1971,1971,864,1,3,1,0,2010,Reg,FR2,115000
141,11645,7,5,2005,2005,1734,2,3,1,660,2006,Reg,Inside,260000
142,8520,5,4,1952,1952,1385,2,4,1,720,2010,Reg,Corner,166000
143,10335,7,5,1999,1999,1501,2,3,1,577,2009,IR1,Inside,204000
144,9100,5,5,1963,1963,1728,2,6,2,504,2006,Reg,Inside,125000
145,2522,6,5,2004,2006,1709,2,3,1,380,2006,Reg,Inside,130000
146,6120,5,7,1931,1993,875,1,2,1,180,2009,Reg,Corner,105000
147,9505,7,5,2001,2001,2035,2,3,1,434,2010,IR1,CulDSac,222500
148,7500,7,5,2004,2005,1080,1,3,1,0,2008,Reg,Inside,141000
149,6240,5,4,1936,1950,1344,1,3,1,240,2006,Reg,Inside,115000
150,10356,5,6,1975,1975,969,1,3,1,440,2007,Reg,Corner,122000
151,13891,8,5,2007,2008,1710,2,2,1,866,2008,Reg,Inside,372402
152,14803,6,5,1971,1971,1993,2,4,1,495,2006,IR1,CulDSac,190000
153,13500,6,7,1960,1975,1252,1,1,1,564,2008,Reg,Inside,235000
154,11340,6,5,1923,1950,1200,1,4,1,312,2006,Reg,Corner,125000
155,9600,6,5,1924,1950,1096,1,2,1,0,2008,Reg,Corner,79000
156,7200,5,7,1950,1950,1040,1,2,1,625,2006,Reg,Inside,109500
157,12003,8,5,2009,2010,1968,2,4,1,680,2010,Reg,Corner,269500
158,12552,7,5,2004,2005,1947,2,3,1,678,2010,Reg,Corner,254900
159,19378,7,5,2005,2006,2462,2,4,1,576,2006,IR1,Corner,320000
160,11120,6,6,1984,1984,1232,2,3,1,516,2008,IR1,CulDSac,162500
161,13688,9,5,2003,2004,2668,2,3,1,726,2008,IR1,Inside,412500
162,12182,7,5,2005,2005,1541,2,3,1,532,2010,Reg,Corner,220000
163,5500,4,6,1956,1956,882,1,1,1,0,2007,Reg,Inside,103200
164,5400,6,7,1926,2004,1616,2,3,1,216,2007,Reg,Corner,152000
165,10106,5,7,1940,1999,1355,2,4,2,0,2008,Reg,Inside,127500
166,10708,5,5,1955,1993,1867,1,2,1,303,2009,IR1,Inside,190000
167,10562,8,5,2007,2007,2161,1,3,1,789,2007,Reg,Inside,325624
168,8244,7,5,2004,2004,1720,2,3,1,440,2007,IR1,Inside,183500
169,16669,8,6,1981,1981,1707,2,2,1,511,2006,IR1,Corner,228000
170,12358,5,6,1941,1950,1382,1,2,1,660,2007,IR1,Inside,128500
171,31770,6,5,1960,1960,1656,1,3,1,528,2010,IR1,Corner,215000
172,5306,7,7,1987,1987,1767,2,2,1,504,2006,IR1,Inside,239000
173,10197,6,5,1961,1961,1362,1,3,1,504,2008,IR1,Inside,163000
174,12416,6,5,1986,1986,1651,2,3,1,616,2008,IR1,Inside,184000
175,12615,6,7,1950,2001,2158,2,4,1,576,2007,Reg,Corner,243000
176,10029,6,5,1988,1989,2060,2,4,1,521,2007,IR1,Corner,211000
177,13650,5,5,1958,1958,1920,2,4,1,451,2006,Reg,Inside,172500
178,17423,9,5,2008,2009,2234,2,1,1,1166,2009,IR1,CulDSac,501837
179,8520,5,6,1923,2006,968,1,2,1,480,2007,Reg,Inside,100000
180,2117,6,5,2000,2000,1525,2,3,1,440,2007,Reg,Inside,177000
181,7588,7,6,1920,1950,1802,1,4,1,216,2006,Reg,Inside,200100
182,9060,5,6,1957,2006,1340,1,3,1,252,2007,Reg,Inside,120000
183,11426,7,5,2003,2003,2082,2,3,1,484,2008,Reg,Inside,200000
184,7438,5,8,1908,1991,1252,1,3,1,576,2006,IR1,Inside,127000
185,22950,10,9,1892,1993,3608,2,4,1,840,2006,IR2,Inside,475000
186,9947,7,5,1990,1991,1217,2,3,1,497,2009,IR1,CulDSac,173000
187,10410,5,7,1916,1987,1656,2,3,1,180,2009,Reg,Inside,135000
188,7018,5,5,1979,1979,1224,0,2,2,528,2009,Reg,Inside,153337
189,4923,8,5,2001,2002,1593,1,0,1,682,2008,Reg,Inside,286000
190,10570,8,8,1932,1994,2727,2,3,1,440,2007,Reg,Inside,315000
191,7472,7,9,1972,2004,1479,1,4,1,484,2007,IR1,CulDSac,184000
192,9017,7,5,1999,1999,1431,2,3,1,666,2009,IR1,Inside,192000
193,2522,7,5,2004,2004,1709,2,3,1,380,2006,Reg,Inside,130000
194,7180,5,7,1972,1972,864,1,3,1,352,2008,IR1,Inside,127000
195,2280,6,6,1976,1976,1456,2,3,1,440,2009,Reg,FR2,148500
196,9416,7,5,2007,2007,1726,2,3,1,786,2007,Reg,Inside,311872
197,25419,8,4,1918,1990,3112,2,4,1,795,2006,Reg,Corner,235000
198,5520,6,6,1912,1950,2229,1,5,1,0,2009,Reg,Corner,104000
199,9591,8,5,2004,2005,1713,2,3,1,856,2009,Reg,Inside,274900
200,8546,4,5,2003,2004,1121,2,2,1,440,2010,Reg,Corner,140000
201,10125,6,6,1977,1977,1279,2,3,1,473,2008,Reg,Inside,171500
202,7000,6,6,1924,1950,1310,2,2,1,398,2006,Reg,Corner,112000
203,4438,6,5,2004,2004,848,1,1,1,420,2008,Reg,Inside,149000
204,3500,5,7,1947,1950,1284,1,2,1,240,2009,Reg,Inside,110000
205,11851,7,5,1990,1990,1442,2,3,1,500,2009,Reg,Corner,180500
206,13673,5,5,1962,1962,1696,1,3,1,349,2007,IR1,CulDSac,143900
207,12493,4,5,1960,1960,1100,1,3,1,312,2008,IR1,Inside,141000
208,14364,7,5,1988,1989,2062,2,3,1,454,2007,IR1,Inside,277000
209,8250,6,7,1964,1964,1092,1,3,1,504,2008,Reg,Inside,145000
210,5604,5,6,1925,1950,864,1,2,1,0,2008,Reg,Inside,98000
211,10420,6,5,2009,2009,1212,2,3,1,460,2010,Reg,Corner,186000
212,8640,7,5,2009,2009,1852,2,3,1,644,2009,Reg,Inside,252678
213,13568,5,5,1995,1995,990,1,3,1,576,2006,IR2,CulDSac,156000
214,10900,6,7,1977,1977,1392,1,3,1,299,2010,IR1,FR2,161750
215,10011,5,6,1957,1996,1236,1,2,1,447,2006,IR1,Inside,134450
216,8450,7,5,2004,2004,1436,2,3,1,484,2008,Reg,Inside,210000
217,9906,4,4,1925,1950,1328,1,3,1,210,2006,Reg,Inside,107000
218,15660,7,9,1939,2006,1954,1,3,1,431,2008,IR1,Corner,311500
219,3010,7,5,2005,2006,1248,2,2,1,438,2006,Reg,Inside,167240
220,8990,7,5,2006,2006,1498,2,2,1,675,2006,IR1,Inside,204900
221,8068,6,5,2002,2002,2267,2,4,1,390,2009,IR1,Inside,200000
222,11475,6,6,1975,1975,1552,2,3,1,434,2006,Reg,Inside,179900
223,10500,4,6,1971,1971,864,1,2,1,576,2009,Reg,FR2,97000
224,13472,10,5,2003,2003,2392,2,3,1,968,2009,Reg,Inside,386250
225,1680,5,5,1971,1971,1302,2,3,1,280,2009,Reg,Inside,112000
226,9950,7,5,1995,1995,2520,2,4,1,721,2007,IR1,Inside,290000
227,1869,6,6,1970,1970,987,1,2,1,280,2008,Reg,Inside,106000
228,8521,5,5,1967,1967,912,1,3,1,336,2010,Reg,FR2,125000
229,3182,7,5,2005,2006,1555,2,2,1,430,2009,Reg,Inside,192500
230,8760,6,6,1959,1959,1194,1,3,1,312,2010,Reg,Inside,148000
231,15138,8,5,1995,1996,2794,2,4,1,810,2009,IR1,Inside,403000
232,1680,6,5,1972,1972,987,1,2,1,288,2006,Reg,Inside,94500
233,10650,5,6,1976,1976,894,1,3,1,308,2010,Reg,Corner,128200
234,7851,6,5,2002,2002,1960,2,4,1,440,2010,Reg,Inside,216500
235,1680,6,3,1971,1971,987,1,2,1,264,2008,Reg,Inside,89500
236,8773,7,5,2004,2004,1414,2,3,1,494,2010,Reg,FR2,185500
237,9453,7,7,1993,2003,1744,2,3,1,457,2010,IR1,CulDSac,194500
238,12030,8,5,2007,2007,1694,2,3,1,818,2007,Reg,Inside,318000
239,8741,6,4,1945,1950,1487,1,3,1,220,2010,Reg,Inside,113000
240,9000,8,5,2008,2008,1566,2,3,1,750,2010,Reg,Inside,262500
241,3880,5,9,1945,1997,866,1,2,1,0,2007,Reg,Inside,110500
242,5000,5,4,1900,1950,1440,1,3,1,352,2006,Reg,Corner,79000
243,10762,6,6,1980,1980,1217,1,3,1,288,2009,Reg,Corner,120000
244,8880,7,5,1994,2002,2110,2,3,1,463,2010,IR1,Inside,205000
245,10400,7,5,1988,1988,1872,2,3,1,604,2006,Reg,Inside,241500
246,9142,6,8,1910,1950,1928,2,4,2,440,2006,Reg,Inside,137000
247,11310,6,5,1954,1954,1375,1,2,1,451,2006,Reg,Inside,140000
248,11317,7,5,2003,2003,1668,2,3,1,500,2007,Reg,Inside,180000
249,159000,6,7,1958,2006,2144,2,4,1,389,2007,IR2,CulDSac,277000
250,5350,3,2,1940,1966,1306,1,3,1,0,2010,IR1,Inside,76500
251,4750,8,5,2006,2007,1625,2,2,1,538,2007,IR1,Inside,235000
252,8366,6,5,2004,2004,1640,2,3,1,520,2008,IR1,Inside,173000
253,9350,6,7,1964,1991,1302,2,3,1,309,2007,Reg,Inside,158000
254,8400,5,6,1957,1957,1314,1,3,1,294,2010,Reg,Inside,145000
255,8738,7,5,1999,1999,2291,2,4,1,429,2006,IR1,Inside,230000
256,8791,6,5,2003,2003,1728,2,3,1,673,2008,IR1,Inside,207500
257,8814,7,5,2006,2006,1604,2,3,1,660,2009,Reg,Inside,220000
258,12435,7,5,2001,2001,1792,2,3,1,564,2008,Reg,Inside,231500
259,12702,5,5,1956,1956,882,1,2,1,308,2008,Reg,Inside,97000
260,19296,6,5,1962,1962,1382,1,3,1,884,2009,Reg,Corner,176000
261,9588,8,5,2007,2007,2574,2,3,1,868,2007,IR1,Inside,276000
262,8471,6,7,1977,1995,1212,1,3,1,492,2006,IR1,Corner,151000
263,5500,5,7,1929,2001,1316,1,3,1,484,2010,Reg,Corner,130000
264,5232,5,5,1925,2004,764,1,2,1,504,2008,IR3,Inside,73000
265,12090,6,6,1981,1981,1422,2,3,1,576,2008,IR1,Inside,175500
266,11207,6,5,1997,1997,1511,2,3,1,413,2006,IR1,FR2,185000
267,8400,5,8,1939,1997,2192,2,4,1,240,2008,Reg,Inside,179500
268,6900,5,6,1940,1955,778,1,2,1,924,2008,Reg,Inside,120500
269,7917,6,7,1976,1976,1113,1,3,1,504,2007,IR1,Corner,148000
270,10728,8,5,2006,2006,1939,2,3,1,1053,2006,Reg,Inside,266000
271,39104,7,7,1954,2005,1363,1,2,1,439,2008,IR1,CulDSac,241500
272,11764,8,7,1999,2007,2270,2,4,1,671,2010,IR1,CulDSac,290000
273,9600,6,6,1958,1988,1632,2,3,1,338,2009,Reg,Inside,139000
274,8314,5,7,1982,1982,816,1,2,1,264,2007,Reg,Corner,124500
275,7264,7,7,1925,2007,1548,2,3,1,672,2009,Reg,Inside,205000
276,9196,7,5,2003,2003,1560,2,3,1,573,2010,IR1,Inside,201000
277,19138,4,5,1951,1951,864,1,2,1,400,2010,Reg,Corner,141000
278,14450,9,5,2006,2007,2121,2,3,1,732,2007,Reg,Inside,415298
279,10005,7,5,1977,1977,2022,2,4,1,505,2008,Reg,Inside,192000
280,11287,7,6,1989,1989,1982,2,3,1,575,2007,Reg,Inside,228500
281,7200,6,5,2006,2006,1262,2,2,1,572,2006,Reg,Inside,185000
282,5063,7,5,2007,2008,1314,2,2,1,626,2009,Reg,Inside,207500
283,9612,8,5,2008,2009,1468,2,3,1,898,2009,Reg,Inside,244600
284,8012,6,5,1992,1992,1575,2,2,1,529,2007,Reg,Inside,179200
285,4251,7,5,2006,2007,1250,2,2,1,528,2007,IR1,Inside,164700
286,9786,6,7,1962,1981,1734,1,3,1,440,2006,IR1,Inside,159000
287,8125,4,4,1971,1971,858,1,3,1,0,2006,IR1,Corner,88000
288,9819,5,5,1967,1967,900,1,3,1,280,2010,IR1,Inside,122000
289,8730,6,7,1915,2003,1396,1,3,1,384,2007,Reg,Inside,153575
290,15611,8,5,2006,2006,1919,2,3,1,685,2006,Reg,Inside,233230
291,5687,5,6,1912,2000,1716,2,6,1,0,2008,Reg,Inside,135900
292,11409,5,4,1949,2008,1716,1,3,1,281,2009,Reg,Inside,131000
293,16659,7,7,1977,1994,2263,2,3,1,539,2006,IR1,Corner,235000
294,9600,6,5,1953,1953,1644,1,3,1,418,2009,Reg,Inside,167000
295,7937,6,6,1984,1984,1003,1,3,1,588,2006,IR1,CulDSac,142500
296,13710,5,5,1950,1950,1558,1,4,1,282,2007,Reg,Inside,152000
297,7399,7,5,1997,1998,1950,2,3,1,576,2007,IR1,Inside,239000
298,11700,6,6,1968,1968,1743,1,3,1,539,2007,Reg,Inside,175000
299,14000,6,8,1950,2004,1152,1,3,1,300,2009,Reg,Inside,158500
300,15750,5,5,1953,1953,1336,1,2,1,375,2006,Reg,Corner,157000
301,16226,8,5,1998,1999,2452,2,4,1,683,2007,IR3,Inside,267000
302,13704,7,5,2001,2002,1541,2,3,1,843,2006,IR1,Corner,205000
303,9800,5,7,1972,1972,894,1,3,1,552,2006,Reg,Corner,149900
304,18386,7,9,1880,2002,3493,3,3,1,870,2008,Reg,Inside,295000
305,10386,8,5,2004,2005,2000,2,3,1,888,2007,Reg,Inside,305900
306,13474,7,5,1990,1991,2243,2,4,1,746,2007,Reg,Inside,225000
307,7920,6,7,1920,1950,1406,1,3,1,0,2008,IR1,Inside,89500
308,12342,4,5,1940,1950,861,1,1,1,539,2009,IR1,Inside,82500
309,12378,9,5,2003,2004,1944,2,3,1,708,2006,IR1,Inside,360000
310,7685,6,5,1993,1994,1501,2,3,1,420,2006,IR1,Inside,165600
311,8000,6,6,1948,2002,972,1,2,1,240,2009,Reg,Inside,132000
312,7800,5,7,1939,1950,1118,1,3,1,410,2006,Reg,Inside,119900
313,215245,7,5,1965,1965,2036,2,3,1,513,2009,IR3,Inside,375000
314,9600,7,7,1925,1990,1641,1,3,1,546,2006,Reg,Inside,178000
315,7795,7,5,2004,2005,1432,2,3,1,432,2009,IR1,Inside,188500
316,13005,7,7,1980,1980,2353,2,4,1,484,2009,IR1,Corner,260000
317,9000,8,5,2006,2006,1959,2,3,1,1025,2007,Reg,Inside,270000
318,9900,7,5,1993,1993,2646,2,4,1,656,2009,Reg,Inside,260000
319,14115,7,5,1980,1980,1472,2,3,1,588,2009,Reg,Inside,187500
320,16259,9,5,2006,2006,2596,3,4,1,840,2006,Reg,Corner,342643
321,12099,8,5,2004,2004,2468,2,4,1,872,2007,IR1,Inside,354000
322,10380,7,5,1986,1987,2730,2,4,1,576,2007,IR1,Inside,301000
323,5820,3,8,1955,2005,1163,1,3,1,220,2006,Reg,Inside,126175
324,11275,7,7,1967,2007,2978,2,5,1,564,2010,Reg,Corner,242000
325,5000,5,6,1941,1950,803,1,2,1,360,2007,Reg,Inside,87000
326,10846,8,5,1993,1993,1719,1,1,1,473,2008,IR1,CulDSac,324000
327,11600,6,5,1960,1960,1383,1,3,1,292,2006,Reg,Inside,145250
328,11888,6,6,1916,1994,2134,2,5,1,441,2009,IR1,Inside,214500
329,6402,5,5,1920,1950,1192,1,3,1,189,2009,Reg,Corner,78000
330,10624,5,4,1964,1964,1728,2,6,2,352,2007,IR1,Inside,119000
331,8176,5,6,1958,1992,1056,1,3,1,308,2007,Reg,Inside,139000
332,10655,8,5,2003,2004,1629,2,3,1,880,2009,IR1,Inside,284000
333,8198,7,5,2004,2004,1358,2,2,1,484,2008,Reg,FR3,207000
334,9042,6,5,1998,1998,1638,2,3,1,472,2008,IR1,Inside,192000
335,164660,5,6,1965,1965,1786,2,3,1,529,2008,IR1,Corner,228950
336,14157,9,5,2005,2006,1922,2,3,1,676,2007,IR1,Corner,377426
337,9135,7,5,2002,2003,1536,2,3,1,532,2008,Reg,Inside,214000
338,14145,7,7,1984,1998,1621,2,3,1,440,2006,Reg,Corner,202500
339,12400,6,7,1958,1998,1215,1,3,1,297,2009,IR1,Inside,155000
340,14191,8,5,2002,2002,1908,2,4,1,431,2010,Reg,Inside,202900
341,8400,4,4,1950,1950,841,1,2,1,294,2009,Reg,Inside,82000
342,8544,3,4,1949,1950,1040,2,2,2,400,2006,Reg,Inside,87500
343,8849,9,5,2005,2005,1684,2,2,1,564,2008,IR1,Inside,266000
344,2592,5,3,1976,1976,1112,1,3,1,336,2010,Reg,Inside,85000
